Match,ID,Romanina,English
A,100201462,"Componenta Mediu si Social Subfactori 5.1 – 5.2 
5.2 - Componenta Sociala: Componenta tehnica, Componenta Sociala are in vedere: Numarul persoanelor cu probleme de excluziune sociala angajate – Punctajul P social max=5 puncte Ofertantul se angajează să încadreze, in termen de 60 de zile, de la semnarea contractului, persoane din urmatoarele categorii sociale: - Persoanele care sunt victime ale violenței domestice - Tineri proveniți din instituțiile de protecție a copiilor - Refugiați și solicitanți de azil - O mamă sau un tată al unei familii monoparentale - Membri ai familiilor evacuate și persoane fără adopost - Șomeri care și-au epuizat indemnizația de șomaj - persoane cu grad de handicap de maxim 30% - persoane cu varsta de peste 50 ani Punctajul maxim, acordat pentru numarul maxim de persoane, P social max, ofertantului care angajează/are angajați /declara că va angaja după semnarea contractului, este P social max = 5 puncte Algoritm de calcul: Pentru oferta - P social n - care angajaza un numar mai mic de persoane - punctajul se calculeaza asfel: P social n = N social n/N social max) x P social max (se rotunjeste la doua zecimale) Acest factor de evaluare se monitorizează în situațiile de lucrări. În situatia in care numărul persoanelor cu probleme de excluziune sociale angajate este mai mic decat cel din oferta de participare la procedura Ofertantul, devenit Antreprenor va achita Autoritătii Contractante despagubiri/ penalitati, in conformitate cu conditiile prevazute in Acordul Contractual punctul 11.2. Se verifica cu extrasul din REVISAL din perioada aferenta situatiei de plata.","Environmental and Social Component Sub‑factors 5.1 – 5.2
5.2 – Social Component: The technical component, the Social Component takes into account: The number of persons with social exclusion problems employed – maximum Social Score P = 5 points. The bidder commits to recruit, within 60 days from signing the contract, persons from the following social categories:
- Persons who are victims of domestic violence
- Young people coming from child protection institutions
- Refugees and asylum seekers
- A mother or father of a single‑parent family
- Members of evacuated families and persons without a home
- Unemployed persons who have exhausted their unemployment benefits
- Persons with a disability degree of up to 30%
- Persons aged over 50 years

The maximum score awarded for the maximum number of persons, P_social_max, for the bidder who employs/has employees / declares that it will employ after signing the contract, is P_social_max = 5 points.

Calculation algorithm: For the offer – P_social_n – which employs a smaller number of persons – the score is calculated as follows:
P_social_n = (N_social_n / N_social_max) × P_social_max (rounded to two decimals)

This evaluation factor is monitored in work situations. In the situation where the number of persons with social exclusion problems employed is lower than that stated in the participation offer, the bidder, becoming the Contractor, shall pay the Contracting Authority compensation/penalties, in accordance with the conditions set out in the Contractual Agreement point 11.2. Verification is performed with the REVISAL extract for the relevant payment period."
A,100201402,"Instructaj pentru optimizarea eficienței energetice (IEE): Componenta calitativa, Algoritm de calcul: Subfactor Punctaj acordat Ofertantul asigura un instructaj incluzând elemente de ajustare si reglaj fin al parametrilor de consum de energie electrica ai echipamentului (de exemplu, modul ”standby”), în vederea optimizării consumului de energie electrică. Acordarea punctajului se va realiza numai pentru ofertele care conțin, în cadrul propunerii tehnice, o descriere a modului de realizare a instructajului în domeniul optimizării energetice (mod economisire energie), instructaj ce se va realiza la sediul beneficiarului pentru un numar de minim 3 persoane pe o durata a minim 2 ore. 7 Ofertantul asigura pe toata perioada de garantie acordata, minim 1 (una) sesiune anuala de instruire la locul de muncă, privind actualizarea cunostintelor referitoare la metodele și tehnicile de optimizare a consumurilor de energie electrică. Acordarea punctajului se va realiza numai pentru ofertele care conțin, în cadrul propunerii tehnice, o descriere a modului de realizare a sesiunii de instruire privind actualizarea cunostintelor referitoare la optimizarea consumului de energie, instructaj ce se va realiza la sediul beneficiarului pentru un numar de minim 3 persoane pe o durata a minim 1 ora. 3 Ofertantul nu include in oferta sa sesiuni de instruire / actualizare a cunostintelor referitoare la metodele și tehnicile de optimizare a consumurilor de energie electrică conform detalierii din caietul de sarcini. Nu se puncteaza NOTA: Cu scopul acordarii punctajelor, operatorii economici vor mentiona in cadrul propunerii tehnice daca in cadrul ofertei sunt incluse sau nu sunt incluse sesiunile de instruire / actualizare a cunostintelor referitoare la metodele și tehnicile de optimizare a consumurilor de energie electrică si vor detalia modul de desfasurare al acestora. Justificare: Acest factor de evaluare a fost ales in conformitate cu prevederile Anexei nr. 7 ale Ordinului ANAP nr. 2395 / 2023 pentru aprobarea criteriilor ecologice aplicabile categoriilor de produse care au impact asupra mediului pe durata întregului ciclu de viață. Utilizatorul trebuie sa cunoasca elementele de ajustare și reglaj fin al parametrilor de consum de energie electrică ai echipamentului (de exemplu, modul „standby”), în vederea optimizării consumului de energie electrică.","Training for energy efficiency optimisation (IEE): Qualitative component, scoring algorithm: The bidder shall provide training that includes adjustment and fine‑tuning of the equipment's electricity consumption parameters (e.g., ""standby"" mode) to optimise energy use. Points will be awarded only for offers that, within the technical proposal, describe how the training on energy optimisation will be carried out (energy‑saving mode), with the training taking place at the beneficiary's premises for at least three persons for a minimum of two hours. Additionally, the bidder shall, throughout the warranty period, provide at least one (1) annual on‑site training session updating knowledge on methods and techniques for optimising electricity consumption. Points will be awarded only for offers that describe how this update session will be conducted, also at the beneficiary's location, for at least three persons for a minimum of one hour. Offers that do not include any training or knowledge‑updating sessions on energy‑optimisation methods and techniques, as detailed in the specifications, will receive no points. NOTE: To receive points, economic operators must indicate in the technical proposal whether training/updating sessions on energy‑optimisation methods and techniques are included and detail how they will be carried out. Justification: This evaluation factor was chosen in accordance with Annex No. 7 of ANAP Order No. 2395/2023 approving ecological criteria applicable to product categories that have an environmental impact over the entire life cycle. The user must know the adjustment and fine‑tuning elements of the equipment's electricity consumption parameters (e.g., ""standby"" mode) to optimise electricity consumption."
F,100201290,"Lanțul de aprovizionare: Componenta tehnică - verde, •   Producător (furnizor) – achizitor se acordă punctajul maxim 10 puncte;
•   Pentru intervenția unui singur distribuitor pe lanțul de distribuție: Producător – importator/distribuitor 1(furnizor) – achizitor se acordă 5 p;
•   Pentru intervenția a doi sau mai mulți distribuitori pe lanțul de distribuție se acordă 0 puncte.
Ofertanții vor prezenta odată cu oferta o declarație în care trebuie să precizeze numele produsului ofertat, numele producătorului, țara de origine și după caz, numele importatorului/distribuitorului. În situația în care furnizorul nu este producătorul produselor ofertate, se vor depune documente din care să rezulte lanțul de distribuție de la producător până la ofertant. (până la operatorul economic participant la prezenta procedură de achiziție). În cazul neprezentării de documente care dovedesc lanțul de distribuție, oferta va fi considerată neconformă.","Supply chain: Green technical component - •   Producer (supplier) – buyer receives the maximum score of 10 points;
•   For the involvement of a single distributor in the distribution chain: Producer – importer/distributor 1 (supplier) – buyer receives 5 points;
•   For the involvement of two or more distributors in the distribution chain, 0 points are awarded.
Bidders must submit, together with the offer, a declaration specifying the name of the offered product, the name of the producer, the country of origin and, where applicable, the name of the importer/distributor. If the supplier is not the producer of the offered products, documents must be provided that show the distribution chain from the producer to the bidder (up to the economic operator participating in this procurement procedure). In the absence of documents proving the distribution chain, the offer will be considered non‑conforming."
F,100201185,"Lanţul de aprovizionare: Factorul ” lanţul de aprovizionare” care are o pondere de 30% în totalul criteriului de atribuire, acestuia corespunzându-i un maximum de 30 de puncte 
Prin „lanţul de aprovizionare“ se înţelege circuitul de aprovizionare care implică un număr de operatori economici responsabili de producerea, fabricarea şi comercializarea produselor (alimentelor). Algoritmul de calcul al punctajului aferent factorului de evaluare „lanţul de aprovizionare“ va fi unul de tip invers proporţional, în sensul că un număr mai mic de operatori
economici implicaţi în lanţul de aprovizionare va primi un punctaj mai mare.
Nota: Pentru a obtine punctajul corespunzator, operatorii economici trebuie sa prezinte în cadrul ofertei documente care confirmă livrarea directă de la producator sau implicarea unui singur operator economic în lantul de aprovizionare., - pentru livrarile directe (ofertantul este producatorul original) se acorda punctajul maxim, respectiv 30 puncte;
- pentru livrari cu un singur operator economic implicat in lantul de aprovizionare (intermediar) – se acorda 20 puncte;
- pentru livrari cu doi operatori economici implicati in lantul de aprovizionare (intermediar) – se acorda 10 puncte;
- pentru trei sau mai multi operatori economici implicati in lantul de aprovizionare – nu se acorda punctaj","Supply chain: The factor “supply chain” which carries a weight of 30% in the total award criteria, with a maximum of 30 points.
The “supply chain” is understood as the supply circuit involving a number of economic operators responsible for the production, manufacturing and marketing of the products (food). The scoring algorithm for the “supply chain” evaluation factor will be inversely proportional, meaning that a smaller number of economic operators involved in the supply chain will receive a higher score.
Note: To obtain the corresponding score, economic operators must submit documents with the offer confirming direct delivery from the producer or the involvement of a single economic operator in the supply chain. – for direct deliveries (the bidder is the original producer) the maximum score of 30 points is awarded;
– for deliveries with a single economic operator involved in the supply chain (intermediary) – 20 points are awarded;
– for deliveries with two economic operators involved in the supply chain (intermediary) – 10 points are awarded;
– for three or more economic operators involved in the supply chain – no points are awarded."
F,100201172,"Lanțul de aprovizionare – canale scurte de aprovizionare: Pentru a fi considerate documentele relevante, în vederea demonstrării poziționării în cadrul lanțului de aprovizionare, documentele prezentate trebuie să fie emise/asumate de producător și să rezulte din acestea că producătorul livrează către ofertant inclusiv produsul ofertat.
Se specifica care este procentul produselor cand se completeaza declaratia.
Punctajul se calculeaza pentru toate produsele., Punctajul obținut (P. lanț produs) se determină astfel:
a) în cazul în care ofertantul are calitatea de producător final al produselor (este situat pe poziția 1 în lanțul de aprovizionare pentru 90%+1 din produsele ofertate) se acordă 20 puncte;
b) în cazul în care ofertantul este primul distribuitor/intermediar pe piață al produselor (este situat pe poziția 2 în lanțul de aprovizionare și are o relație comercială directă cu producătorul final pentru 90%+1 din produsele ofertate) se acordă 10 puncte;
c) în cazul în care ofertantul este al doilea sau mai mult de al doilea distribuitor/intermediar pe piață al produsului (este situat pe poziția 3 sau mai mult în lanțul de aprovizionare și nu are o relație comercială direct cu producătorul final pentru sub 90%+1 din produsele ofertate) se acordă 0 puncte (nu se acordă punctaj).
În cazul în care ofertantul nu furnizează informații relevante pentru demonstrarea poziționării în cadrul lanțului de aprovizionare pentru 90%+1 din produsele ofertate, acesta va fi încadrat automat ca fiind situat pe poziția 3 sau mai mult în lanțul de aprovizionare și nu are o relație comercială direct cu producătorul final pentru sub 90%+1 din produsele ofertate pentru care se acordă 0 puncte (nu se acordă punctaj).","Supply chain – short supply chain channels: In order for documents to be considered relevant for demonstrating positioning within the supply chain, the submitted documents must be issued/endorsed by the producer and must show that the producer delivers the offered product to the bidder.
The percentage of products must be specified when completing the declaration.
The score is calculated for all products. The obtained score (product chain score) is determined as follows:
a) if the bidder is the final producer of the products (situated at position 1 in the supply chain for 90%+1 of the offered products) 20 points are awarded;
b) if the bidder is the first distributor/intermediary on the market of the products (situated at position 2 in the supply chain and has a direct commercial relationship with the final producer for 90%+1 of the offered products) 10 points are awarded;
c) if the bidder is the second or subsequent distributor/intermediary on the market of the product (situated at position 3 or higher in the supply chain and does not have a direct commercial relationship with the final producer for less than 90%+1 of the offered products) 0 points are awarded (no score).
If the bidder does not provide relevant information to demonstrate positioning within the supply chain for 90%+1 of the offered products, they will automatically be classified as being at position 3 or higher in the supply chain and not having a direct commercial relationship with the final producer for less than 90%+1 of the offered products, for which 0 points are awarded (no score)."
F,100200342,"Lanțul de aprovizionare (LA): Prin lanț de aprovizionare (LA ) se înțelege circuitul de aprovizionare care implică un număr de operatori economici responsabili de producerea, fabricarea și comercializarea produselor care fac obiectul achiziției publice.
Livrările directe fără intermediari  presupune că produsele alimentare ( în funcție de forma în care sunt solicitate acestea ) vor fi livrate direct de la producători, procesatori, asociații de producători respectiv organizații de producători, grupuri de producători, cooperative., Algoritm de calcul : 
   Pentru livrările directe fără nici un intermediar (de la producător la consumatorul final ) se acordă punctaj  maxim – 40 puncte
   Pentru un singur operator economic intermediar implicat în lanțul de aprovizionare  - se acordă  20  puncte
   Pentru doi operatori economici intermediari  implicați în lanțul de aprovizionare  - se acordă  10  puncte
   Pentru ofertele care propun mai mult de doi operatori economici implicați în lanțul de aprovizionare sau pentru ofertele ce provin de la ofertanții care nu au depus documente doveditoare privitoare la lanțul de aprovizionare – se acordă  0 puncte. 
Punctajul va fi calculat individual, pentru fiecare produs din tabelul de la cap.3.3.1 – Produse solicitate din caietul de sarcini. Punctajul final (Pf) pentru componenta tehnica – Lanțul de aprovizionare  - va fi calculat după formula :
Pf=(Puncte prod.1+Puncte prod.2+Puncte prod.3 +⋯+Puncte prod.6)/6 
 Modalitatea de îndeplinire:  
În cadrul propunerii tehnice, ofertantul va prezenta documente din care să rezulte calitatea acestuia în lanțul de aprovizionare (autorizație de producător/ procesator/ Autorizație sanitara veterinara emisa de ANSVSA pentru activități de producție si/sau procesare; in cazul in care ofertantul nu este producător se vor depune suplimentar contracte/facturi care sa demonstreze lanțul de aprovizionare precum și alte documente care să ateste calitatea de producător/importator, în limba română.
Ofertanții vor indica clar, pentru fiecare produs din tabelul de la cap.3.3.1 din caietul de sarcini, producătorul și va prezenta fisele tehnice de produs de la producător pentru fiecare produs în parte.","Supply chain (SC): The supply chain (SC) is understood as the procurement circuit involving a number of economic operators responsible for producing, manufacturing and commercialising the products that are the subject of the public procurement.
Direct deliveries without intermediaries mean that food products (depending on the form in which they are requested) will be delivered directly from producers, processors, producers' associations or producers' organisations, groups of producers, cooperatives. Calculation algorithm:
   For direct deliveries with no intermediary (from producer to final consumer) the maximum score – 40 points is awarded.
   For one economic intermediary involved in the supply chain – 20 points are awarded.
   For two economic intermediaries involved in the supply chain – 10 points are awarded.
   For offers proposing more than two economic operators in the supply chain or for offers from bidders who have not submitted supporting documents regarding the supply chain – 0 points are awarded.
The score will be calculated individually for each product listed in chapter 3.3.1 – Products requested in the tender specifications. The final score (Pf) for the technical component – Supply chain – will be calculated using the formula:
Pf = (Score product 1 + Score product 2 + Score product 3 + … + Score product 6) / 6
Method of fulfilment:
In the technical proposal, the bidder shall present documents demonstrating the quality of the supply chain (producer/processor licence / veterinary sanitary authorisation issued by ANSVSA for production and/or processing activities; if the bidder is not a producer, additional contracts/invoices must be provided to prove the supply chain as well as other documents confirming the status of producer/importer, in Romanian).
Bidders shall clearly indicate, for each product in the table of chapter 3.3.1 of the tender specifications, the producer and shall present the product technical data sheets from the producer for each product."
F,100200465,"FACTORUL II – lanțul de aprovizionare: Prin „lanţ de aprovizionare“ se înţelege circuitul de aprovizionare care implică un număr de operatori economici responsabili de producerea, fabricarea şi comercializarea produselor care fac obiectul contractului., a)-Punctaj maxim acordat = 30 puncte pentru livrări directe, ofertantul este producătorul original al produselor alimentare ofertate) ( ofertantul trebuie să prezinte un certificat de producător pentru produsele ofertate ) b)-Punctaj acordat = 20 puncte pentru livrări cu un singur operator economic ( intermediar ) implicat în lanțul de aprovizionare ( operatorul economic trebuie să prezinte un contract/comandă ferma incheiata cu producătorul respectivelor produse alimentare ofertate ) c)-Punctaj acordat = 10 puncte pentru livrări cu cel mult 2 operatori economici implicaţi în lanțul de aprovizionare d)-Punctaj acordat = 0 puncte pentru livrări cu mai mult de 2 operatori economici implicaţi în lanțul de aprovizionare.","FACTOR II – supply chain: By ""supply chain"" is meant the supply circuit that involves a number of economic operators responsible for producing, manufacturing and marketing the products that are the object of the contract.

a) Maximum score awarded = 30 points for direct deliveries (the bidder is the original producer of the offered food products) (the bidder must present a producer certificate for the offered products).

b) Score awarded = 20 points for deliveries with a single economic operator (intermediary) involved in the supply chain (the economic operator must present a firm contract/order concluded with the producer of the respective offered food products).

c) Score awarded = 10 points for deliveries with at most two economic operators involved in the supply chain.

d) Score awarded = 0 points for deliveries with more than two economic operators involved in the supply chain."
C,100200542,"Numărul de locuri microbuz: Numărul de locuri microbuz, Punctajul se acordă astfel:
a)   Pentru o capacitate de 16  locuri pe scaune, din care 1 loc pentru persoane cu dizabilităţi (în cadrul celor 16 locuri pe scaune unul trebuie amenajat pentru persoane cu dizabilităţi) + 1 loc pentru conducătorul auto– NU se acordă punctaj
b)   Pentru o capacitate de 22 locuri pe scaune din care 1 loc pentru persoane cu dizabilităţi (în cadrul celor 22 locuri pe scaune unul trebuie amenajat pentru persoane cu dizabilităţi) + 1 loc pentru conducătorul auto se acordă punctajul maxim: 10 puncte
c)   Pentru celelalte capacităţi ofertate P(Pth LOC) punctajul alocat se va calcula proporțional, astfel 
Pth LOC = (Pth locuri ofertate / Pth locuri max) x Punctaj maxim alocat (10 puncte)
unde:
Pth LOC – punctaj aferent factorului de evaluare tehnic – Numărul de locuri microbuz (max. 10p);
Pth locuri max – numărul de locuri solicitat de autoritatea contractantă;
Pth locuri ofertate – numărul de locuri prezentat de ofertantul ”n”","Number of minibus seats: The number of minibus seats, points are awarded as follows:
a)   For a capacity of 16 seats, of which 1 seat must be adapted for persons with disabilities (among the 16 seats one must be equipped for persons with disabilities) + 1 seat for the driver – no points are awarded
b)   For a capacity of 22 seats, of which 1 seat must be adapted for persons with disabilities (among the 22 seats one must be equipped for persons with disabilities) + 1 seat for the driver – the maximum score is awarded: 10 points
c)   For other offered capacities, the allocated points (Pth LOC) will be calculated proportionally as follows:
Pth LOC = (offered seats / maximum requested seats) × maximum allocated score (10 points)
where:
Pth LOC – score related to the technical evaluation factor – Number of minibus seats (max. 10 points);
Maximum requested seats – the number of seats requested by the contracting authority;
Offered seats – the number of seats presented by bidder “n”."
F,100200629,"Lanțul de aprovizionare: Componenta tehnică
„Lanțul de aprovizionare” La, cu o valoare de 30 de puncte din totalul de 100 de puncte și cu o pondere de 30 % din totalul criteriului de atribuire, se va acorda după cum urmează:, Algoritm de calcul: 
PLa(n) = [(La-Lamin)/(Lamax-Lamin)]*30 
Unde: PLa(n): punctajul obținut de către Oferta “n” pentru factorul Lantul de aprovizionare; 
La – numărul de repere livrate direct (de la producătorul original la consumatorul final); 
Lamin - numărul repere livrate direct (de la producătorul original la consumatorul final) minim ofertat; 
Lamax - numărul repere livrate direct (de la producătorul original la consumatorul final) maxim ofertat; 

Lanţ de aprovizionare scurt se înţelege relaţia directă dintre producător şi consumator, între care nu poate exista mai mulţi intermediari, unde:
a) producătorul este persoana fizică sau juridică care produce bunurile ofertate.
c) consumatorul este utilizatorul final;
d) intermediar este orice distribuitor/depozitar/comerciant care asigură furnizarea produselor de la producător la consumator.

Ofertantul își va asuma procentul bunurilor/materialelor pentru care are calitatea de producător printr-o declarație pe propria răspundere. 
Ofertantul va prezenta documente/proceduri de lucru prin care demonstrează existența unei strategii de management asociate sistemelor informatice prin care se asigură gestiunea lanțului de aprovizionare conform nivelului ofertat.","Supply Chain: Technical Component
""Supply Chain"" La, with a value of 30 points out of a total of 100 points and a weight of 30% of the total award criteria, shall be awarded as follows:, Calculation algorithm:
PLa(n) = [(La‑Lamin)/(Lamax‑Lamin)]*30
Where: PLa(n): the score obtained by Offer ""n"" for the Supply Chain factor;
La – the number of items delivered directly (from the original producer to the final consumer);
Lamin – the minimum number of items delivered directly (from the original producer to the final consumer) offered;
Lamax – the maximum number of items delivered directly (from the original producer to the final consumer) offered;

A short supply chain is understood as the direct relationship between producer and consumer, where no additional intermediaries may exist, where:
a) the producer is the natural or legal person who manufactures the offered goods;
c) the consumer is the end‑user;
d) an intermediary is any distributor/warehouseman/trader who ensures the provision of products from the producer to the consumer.

The tenderer shall assume the percentage of goods/materials for which it has the status of producer by a self‑declaration.
The tenderer shall present documents/work procedures that demonstrate the existence of a management strategy linked to the IT systems that ensure supply‑chain management in accordance with the offered level."
B,100200889,"Factorul F2 – Factori tehnici suplimentari ( conform grilei de punctaj ): Componenta tehnica, 1   Modificare unghi de vizibilitate a ecranului la 45O (Swivel 45O)   Monitorul ofertat trebuie să permită rotirea stânga/dreapta a ecranului, pe același plan, pentru partajarea vizuală a conținutului către alţi utilizatori. Modalitatea de verificare - Fișa tehnică a producătorului   - maxim 10 puncte
2   Ajustarea înalțimii monitorului minim 130 mm. Monitorul ofertat trebuie să permită ajustarea înălțimii, pentru a oferi utilizatorilor o poziționare ergonomică și confort vizual în diverse condiții de lucru. Modalitatea de verificare -   Fișa tehnică a producătorului - maxim 15 puncte
3   Confort vizual - Monitorul ofertat trebuie să fie echipat cu tehnologie Flicker-Free (fără pâlpâiri), funcție Low Blue Light sau orice altă tehnologie certificată pentru reducerea oboselii oculare în cazul utilizării prelungite. Modalitatea de verificare -Fișa tehnică a producătorului, certificări TÜV Rheinland sau echivalente - maxim 10 puncte
4   Garanție extinsă – minim 3 ani. Asigurarea unei perioade de garanție extinsă totală, de minimum 36 de luni, pentru echipamentele achiziționate. Modalitatea de verificare -Certificat de garanție emis de producător sau furnizor; mențiune explicită în oferta tehnică și comercială; verificare la momentul livrării -maxim 5 puncte

(Informatiile suplimentare privind aplicarea algoritmului de calcul se regasesc in caietul de sarcini la paginile 8-10)","Factor F2 – Additional technical factors (according to the scoring grid): Technical component,
1. Change of screen viewing angle to 45° (Swivel 45°). The offered monitor must allow left/right rotation of the screen on the same plane for visual sharing of content with other users. Verification method – Manufacturer's datasheet – maximum 10 points.
2. Minimum height adjustment of the monitor of 130 mm. The offered monitor must allow height adjustment to provide users with ergonomic positioning and visual comfort under various working conditions. Verification method – Manufacturer's datasheet – maximum 15 points.
3. Visual comfort – The offered monitor must be equipped with Flicker‑Free technology (no flickering), Low Blue Light function, or any other certified technology for reducing eye fatigue during prolonged use. Verification method – Manufacturer's datasheet, TÜV Rheinland certifications or equivalents – maximum 10 points.
4. Extended warranty – minimum 3 years. Ensure an extended total warranty period of at least 36 months for the purchased equipment. Verification method – Warranty certificate issued by the manufacturer or supplier; explicit mention in the technical and commercial offer; verification at delivery – maximum 5 points.

(Additional information on the calculation algorithm can be found in the specifications booklet pages 8‑10.)"
