Match,ID,Romanina,English,weight
A,100201462,"Componenta Mediu si Social Subfactori 5.1 – 5.2 
5.2 - Componenta Sociala: Componenta tehnica, Componenta Sociala are in vedere: Numarul persoanelor cu probleme de excluziune sociala angajate – Punctajul P social max=5 puncte Ofertantul se angajeaz? s? încadreze, in termen de 60 de zile, de la semnarea contractului, persoane din urmatoarele categorii sociale: - Persoanele care sunt victime ale violen?ei domestice - Tineri proveni?i din institu?iile de protec?ie a copiilor - Refugia?i ?i solicitan?i de azil - O mam? sau un tat? al unei familii monoparentale - Membri ai familiilor evacuate ?i persoane f?r? adopost - ?omeri care ?i-au epuizat indemniza?ia de ?omaj - persoane cu grad de handicap de maxim 30% - persoane cu varsta de peste 50 ani Punctajul maxim, acordat pentru numarul maxim de persoane, P social max, ofertantului care angajeaz?/are angaja?i /declara c? va angaja dup? semnarea contractului, este P social max = 5 puncte Algoritm de calcul: Pentru oferta - P social n - care angajaza un numar mai mic de persoane - punctajul se calculeaza asfel: P social n = N social n/N social max) x P social max (se rotunjeste la doua zecimale) Acest factor de evaluare se monitorizeaz? în situa?iile de lucr?ri. În situatia in care num?rul persoanelor cu probleme de excluziune sociale angajate este mai mic decat cel din oferta de participare la procedura Ofertantul, devenit Antreprenor va achita Autorit?tii Contractante despagubiri/ penalitati, in conformitate cu conditiile prevazute in Acordul Contractual punctul 11.2. Se verifica cu extrasul din REVISAL din perioada aferenta situatiei de plata.","Environmental and Social Component Sub?factors 5.1 – 5.2
5.2 – Social Component: The technical component, the Social Component takes into account: The number of persons with social exclusion problems employed – maximum Social Score P = 5 points. The bidder commits to recruit, within 60 days from signing the contract, persons from the following social categories:
- Persons who are victims of domestic violence
- Young people coming from child protection institutions
- Refugees and asylum seekers
- A mother or father of a single?parent family
- Members of evacuated families and persons without a home
- Unemployed persons who have exhausted their unemployment benefits
- Persons with a disability degree of up to 30%
- Persons aged over 50 years

The maximum score awarded for the maximum number of persons, P_social_max, for the bidder who employs/has employees / declares that it will employ after signing the contract, is P_social_max = 5 points.

Calculation algorithm: For the offer – P_social_n – which employs a smaller number of persons – the score is calculated as follows:
P_social_n = (N_social_n / N_social_max) × P_social_max (rounded to two decimals)

This evaluation factor is monitored in work situations. In the situation where the number of persons with social exclusion problems employed is lower than that stated in the participation offer, the bidder, becoming the Contractor, shall pay the Contracting Authority compensation/penalties, in accordance with the conditions set out in the Contractual Agreement point 11.2. Verification is performed with the REVISAL extract for the relevant payment period.",5
A,100201402,"Instructaj pentru optimizarea eficien?ei energetice (IEE): Componenta calitativa, Algoritm de calcul: Subfactor Punctaj acordat Ofertantul asigura un instructaj incluzând elemente de ajustare si reglaj fin al parametrilor de consum de energie electrica ai echipamentului (de exemplu, modul ”standby”), în vederea optimiz?rii consumului de energie electric?. Acordarea punctajului se va realiza numai pentru ofertele care con?in, în cadrul propunerii tehnice, o descriere a modului de realizare a instructajului în domeniul optimiz?rii energetice (mod economisire energie), instructaj ce se va realiza la sediul beneficiarului pentru un numar de minim 3 persoane pe o durata a minim 2 ore. 7 Ofertantul asigura pe toata perioada de garantie acordata, minim 1 (una) sesiune anuala de instruire la locul de munc?, privind actualizarea cunostintelor referitoare la metodele ?i tehnicile de optimizare a consumurilor de energie electric?. Acordarea punctajului se va realiza numai pentru ofertele care con?in, în cadrul propunerii tehnice, o descriere a modului de realizare a sesiunii de instruire privind actualizarea cunostintelor referitoare la optimizarea consumului de energie, instructaj ce se va realiza la sediul beneficiarului pentru un numar de minim 3 persoane pe o durata a minim 1 ora. 3 Ofertantul nu include in oferta sa sesiuni de instruire / actualizare a cunostintelor referitoare la metodele ?i tehnicile de optimizare a consumurilor de energie electric? conform detalierii din caietul de sarcini. Nu se puncteaza NOTA: Cu scopul acordarii punctajelor, operatorii economici vor mentiona in cadrul propunerii tehnice daca in cadrul ofertei sunt incluse sau nu sunt incluse sesiunile de instruire / actualizare a cunostintelor referitoare la metodele ?i tehnicile de optimizare a consumurilor de energie electric? si vor detalia modul de desfasurare al acestora. Justificare: Acest factor de evaluare a fost ales in conformitate cu prevederile Anexei nr. 7 ale Ordinului ANAP nr. 2395 / 2023 pentru aprobarea criteriilor ecologice aplicabile categoriilor de produse care au impact asupra mediului pe durata întregului ciclu de via??. Utilizatorul trebuie sa cunoasca elementele de ajustare ?i reglaj fin al parametrilor de consum de energie electric? ai echipamentului (de exemplu, modul „standby”), în vederea optimiz?rii consumului de energie electric?.","Training for energy efficiency optimisation (IEE): Qualitative component, scoring algorithm: The bidder shall provide training that includes adjustment and fine?tuning of the equipment's electricity consumption parameters (e.g., ""standby"" mode) to optimise energy use. Points will be awarded only for offers that, within the technical proposal, describe how the training on energy optimisation will be carried out (energy?saving mode), with the training taking place at the beneficiary's premises for at least three persons for a minimum of two hours. Additionally, the bidder shall, throughout the warranty period, provide at least one (1) annual on?site training session updating knowledge on methods and techniques for optimising electricity consumption. Points will be awarded only for offers that describe how this update session will be conducted, also at the beneficiary's location, for at least three persons for a minimum of one hour. Offers that do not include any training or knowledge?updating sessions on energy?optimisation methods and techniques, as detailed in the specifications, will receive no points. NOTE: To receive points, economic operators must indicate in the technical proposal whether training/updating sessions on energy?optimisation methods and techniques are included and detail how they will be carried out. Justification: This evaluation factor was chosen in accordance with Annex No. 7 of ANAP Order No. 2395/2023 approving ecological criteria applicable to product categories that have an environmental impact over the entire life cycle. The user must know the adjustment and fine?tuning elements of the equipment's electricity consumption parameters (e.g., ""standby"" mode) to optimise electricity consumption.",10
F,100201290,"Lan?ul de aprovizionare: Componenta tehnic? - verde, •   Produc?tor (furnizor) – achizitor se acord? punctajul maxim 10 puncte;
•   Pentru interven?ia unui singur distribuitor pe lan?ul de distribu?ie: Produc?tor – importator/distribuitor 1(furnizor) – achizitor se acord? 5 p;
•   Pentru interven?ia a doi sau mai mul?i distribuitori pe lan?ul de distribu?ie se acord? 0 puncte.
Ofertan?ii vor prezenta odat? cu oferta o declara?ie în care trebuie s? precizeze numele produsului ofertat, numele produc?torului, ?ara de origine ?i dup? caz, numele importatorului/distribuitorului. În situa?ia în care furnizorul nu este produc?torul produselor ofertate, se vor depune documente din care s? rezulte lan?ul de distribu?ie de la produc?tor pân? la ofertant. (pân? la operatorul economic participant la prezenta procedur? de achizi?ie). În cazul neprezent?rii de documente care dovedesc lan?ul de distribu?ie, oferta va fi considerat? neconform?.","Supply chain: Green technical component - •   Producer (supplier) – buyer receives the maximum score of 10 points;
•   For the involvement of a single distributor in the distribution chain: Producer – importer/distributor 1 (supplier) – buyer receives 5 points;
•   For the involvement of two or more distributors in the distribution chain, 0 points are awarded.
Bidders must submit, together with the offer, a declaration specifying the name of the offered product, the name of the producer, the country of origin and, where applicable, the name of the importer/distributor. If the supplier is not the producer of the offered products, documents must be provided that show the distribution chain from the producer to the bidder (up to the economic operator participating in this procurement procedure). In the absence of documents proving the distribution chain, the offer will be considered non?conforming.",10
F,100201185,"Lan?ul de aprovizionare: Factorul ” lan?ul de aprovizionare” care are o pondere de 30% în totalul criteriului de atribuire, acestuia corespunzându-i un maximum de 30 de puncte 
Prin „lan?ul de aprovizionare“ se în?elege circuitul de aprovizionare care implic? un num?r de operatori economici responsabili de producerea, fabricarea ?i comercializarea produselor (alimentelor). Algoritmul de calcul al punctajului aferent factorului de evaluare „lan?ul de aprovizionare“ va fi unul de tip invers propor?ional, în sensul c? un num?r mai mic de operatori
economici implica?i în lan?ul de aprovizionare va primi un punctaj mai mare.
Nota: Pentru a obtine punctajul corespunzator, operatorii economici trebuie sa prezinte în cadrul ofertei documente care confirm? livrarea direct? de la producator sau implicarea unui singur operator economic în lantul de aprovizionare., - pentru livrarile directe (ofertantul este producatorul original) se acorda punctajul maxim, respectiv 30 puncte;
- pentru livrari cu un singur operator economic implicat in lantul de aprovizionare (intermediar) – se acorda 20 puncte;
- pentru livrari cu doi operatori economici implicati in lantul de aprovizionare (intermediar) – se acorda 10 puncte;
- pentru trei sau mai multi operatori economici implicati in lantul de aprovizionare – nu se acorda punctaj","Supply chain: The factor “supply chain” which carries a weight of 30% in the total award criteria, with a maximum of 30 points.
The “supply chain” is understood as the supply circuit involving a number of economic operators responsible for the production, manufacturing and marketing of the products (food). The scoring algorithm for the “supply chain” evaluation factor will be inversely proportional, meaning that a smaller number of economic operators involved in the supply chain will receive a higher score.
Note: To obtain the corresponding score, economic operators must submit documents with the offer confirming direct delivery from the producer or the involvement of a single economic operator in the supply chain. – for direct deliveries (the bidder is the original producer) the maximum score of 30 points is awarded;
– for deliveries with a single economic operator involved in the supply chain (intermediary) – 20 points are awarded;
– for deliveries with two economic operators involved in the supply chain (intermediary) – 10 points are awarded;
– for three or more economic operators involved in the supply chain – no points are awarded.",30
F,100201172,"Lan?ul de aprovizionare – canale scurte de aprovizionare: Pentru a fi considerate documentele relevante, în vederea demonstr?rii pozi?ion?rii în cadrul lan?ului de aprovizionare, documentele prezentate trebuie s? fie emise/asumate de produc?tor ?i s? rezulte din acestea c? produc?torul livreaz? c?tre ofertant inclusiv produsul ofertat.
Se specifica care este procentul produselor cand se completeaza declaratia.
Punctajul se calculeaza pentru toate produsele., Punctajul ob?inut (P. lan? produs) se determin? astfel:
a) în cazul în care ofertantul are calitatea de produc?tor final al produselor (este situat pe pozi?ia 1 în lan?ul de aprovizionare pentru 90%+1 din produsele ofertate) se acord? 20 puncte;
b) în cazul în care ofertantul este primul distribuitor/intermediar pe pia?? al produselor (este situat pe pozi?ia 2 în lan?ul de aprovizionare ?i are o rela?ie comercial? direct? cu produc?torul final pentru 90%+1 din produsele ofertate) se acord? 10 puncte;
c) în cazul în care ofertantul este al doilea sau mai mult de al doilea distribuitor/intermediar pe pia?? al produsului (este situat pe pozi?ia 3 sau mai mult în lan?ul de aprovizionare ?i nu are o rela?ie comercial? direct cu produc?torul final pentru sub 90%+1 din produsele ofertate) se acord? 0 puncte (nu se acord? punctaj).
În cazul în care ofertantul nu furnizeaz? informa?ii relevante pentru demonstrarea pozi?ion?rii în cadrul lan?ului de aprovizionare pentru 90%+1 din produsele ofertate, acesta va fi încadrat automat ca fiind situat pe pozi?ia 3 sau mai mult în lan?ul de aprovizionare ?i nu are o rela?ie comercial? direct cu produc?torul final pentru sub 90%+1 din produsele ofertate pentru care se acord? 0 puncte (nu se acord? punctaj).","Supply chain – short supply chain channels: In order for documents to be considered relevant for demonstrating positioning within the supply chain, the submitted documents must be issued/endorsed by the producer and must show that the producer delivers the offered product to the bidder.
The percentage of products must be specified when completing the declaration.
The score is calculated for all products. The obtained score (product chain score) is determined as follows:
a) if the bidder is the final producer of the products (situated at position 1 in the supply chain for 90%+1 of the offered products) 20 points are awarded;
b) if the bidder is the first distributor/intermediary on the market of the products (situated at position 2 in the supply chain and has a direct commercial relationship with the final producer for 90%+1 of the offered products) 10 points are awarded;
c) if the bidder is the second or subsequent distributor/intermediary on the market of the product (situated at position 3 or higher in the supply chain and does not have a direct commercial relationship with the final producer for less than 90%+1 of the offered products) 0 points are awarded (no score).
If the bidder does not provide relevant information to demonstrate positioning within the supply chain for 90%+1 of the offered products, they will automatically be classified as being at position 3 or higher in the supply chain and not having a direct commercial relationship with the final producer for less than 90%+1 of the offered products, for which 0 points are awarded (no score).",20
F,100200342,"Lan?ul de aprovizionare (LA): Prin lan? de aprovizionare (LA ) se în?elege circuitul de aprovizionare care implic? un num?r de operatori economici responsabili de producerea, fabricarea ?i comercializarea produselor care fac obiectul achizi?iei publice.
Livr?rile directe f?r? intermediari  presupune c? produsele alimentare ( în func?ie de forma în care sunt solicitate acestea ) vor fi livrate direct de la produc?tori, procesatori, asocia?ii de produc?tori respectiv organiza?ii de produc?tori, grupuri de produc?tori, cooperative., Algoritm de calcul : 
   Pentru livr?rile directe f?r? nici un intermediar (de la produc?tor la consumatorul final ) se acord? punctaj  maxim – 40 puncte
   Pentru un singur operator economic intermediar implicat în lan?ul de aprovizionare  - se acord?  20  puncte
   Pentru doi operatori economici intermediari  implica?i în lan?ul de aprovizionare  - se acord?  10  puncte
   Pentru ofertele care propun mai mult de doi operatori economici implica?i în lan?ul de aprovizionare sau pentru ofertele ce provin de la ofertan?ii care nu au depus documente doveditoare privitoare la lan?ul de aprovizionare – se acord?  0 puncte. 
Punctajul va fi calculat individual, pentru fiecare produs din tabelul de la cap.3.3.1 – Produse solicitate din caietul de sarcini. Punctajul final (Pf) pentru componenta tehnica – Lan?ul de aprovizionare  - va fi calculat dup? formula :
Pf=(Puncte prod.1+Puncte prod.2+Puncte prod.3 +?+Puncte prod.6)/6 
 Modalitatea de îndeplinire:  
În cadrul propunerii tehnice, ofertantul va prezenta documente din care s? rezulte calitatea acestuia în lan?ul de aprovizionare (autoriza?ie de produc?tor/ procesator/ Autoriza?ie sanitara veterinara emisa de ANSVSA pentru activit??i de produc?ie si/sau procesare; in cazul in care ofertantul nu este produc?tor se vor depune suplimentar contracte/facturi care sa demonstreze lan?ul de aprovizionare precum ?i alte documente care s? ateste calitatea de produc?tor/importator, în limba român?.
Ofertan?ii vor indica clar, pentru fiecare produs din tabelul de la cap.3.3.1 din caietul de sarcini, produc?torul ?i va prezenta fisele tehnice de produs de la produc?tor pentru fiecare produs în parte.","Supply chain (SC): The supply chain (SC) is understood as the procurement circuit involving a number of economic operators responsible for producing, manufacturing and commercialising the products that are the subject of the public procurement.
Direct deliveries without intermediaries mean that food products (depending on the form in which they are requested) will be delivered directly from producers, processors, producers' associations or producers' organisations, groups of producers, cooperatives. Calculation algorithm:
   For direct deliveries with no intermediary (from producer to final consumer) the maximum score – 40 points is awarded.
   For one economic intermediary involved in the supply chain – 20 points are awarded.
   For two economic intermediaries involved in the supply chain – 10 points are awarded.
   For offers proposing more than two economic operators in the supply chain or for offers from bidders who have not submitted supporting documents regarding the supply chain – 0 points are awarded.
The score will be calculated individually for each product listed in chapter 3.3.1 – Products requested in the tender specifications. The final score (Pf) for the technical component – Supply chain – will be calculated using the formula:
Pf = (Score product 1 + Score product 2 + Score product 3 + … + Score product 6) / 6
Method of fulfilment:
In the technical proposal, the bidder shall present documents demonstrating the quality of the supply chain (producer/processor licence / veterinary sanitary authorisation issued by ANSVSA for production and/or processing activities; if the bidder is not a producer, additional contracts/invoices must be provided to prove the supply chain as well as other documents confirming the status of producer/importer, in Romanian).
Bidders shall clearly indicate, for each product in the table of chapter 3.3.1 of the tender specifications, the producer and shall present the product technical data sheets from the producer for each product.",40
F,100200465,"FACTORUL II – lan?ul de aprovizionare: Prin „lan? de aprovizionare“ se în?elege circuitul de aprovizionare care implic? un num?r de operatori economici responsabili de producerea, fabricarea ?i comercializarea produselor care fac obiectul contractului., a)-Punctaj maxim acordat = 30 puncte pentru livr?ri directe, ofertantul este produc?torul original al produselor alimentare ofertate) ( ofertantul trebuie s? prezinte un certificat de produc?tor pentru produsele ofertate ) b)-Punctaj acordat = 20 puncte pentru livr?ri cu un singur operator economic ( intermediar ) implicat în lan?ul de aprovizionare ( operatorul economic trebuie s? prezinte un contract/comand? ferma incheiata cu produc?torul respectivelor produse alimentare ofertate ) c)-Punctaj acordat = 10 puncte pentru livr?ri cu cel mult 2 operatori economici implica?i în lan?ul de aprovizionare d)-Punctaj acordat = 0 puncte pentru livr?ri cu mai mult de 2 operatori economici implica?i în lan?ul de aprovizionare.","FACTOR II – supply chain: By ""supply chain"" is meant the supply circuit that involves a number of economic operators responsible for producing, manufacturing and marketing the products that are the object of the contract.

a) Maximum score awarded = 30 points for direct deliveries (the bidder is the original producer of the offered food products) (the bidder must present a producer certificate for the offered products).

b) Score awarded = 20 points for deliveries with a single economic operator (intermediary) involved in the supply chain (the economic operator must present a firm contract/order concluded with the producer of the respective offered food products).

c) Score awarded = 10 points for deliveries with at most two economic operators involved in the supply chain.

d) Score awarded = 0 points for deliveries with more than two economic operators involved in the supply chain.",30
C,100200542,"Num?rul de locuri microbuz: Num?rul de locuri microbuz, Punctajul se acord? astfel:
a)   Pentru o capacitate de 16  locuri pe scaune, din care 1 loc pentru persoane cu dizabilit??i (în cadrul celor 16 locuri pe scaune unul trebuie amenajat pentru persoane cu dizabilit??i) + 1 loc pentru conduc?torul auto– NU se acord? punctaj
b)   Pentru o capacitate de 22 locuri pe scaune din care 1 loc pentru persoane cu dizabilit??i (în cadrul celor 22 locuri pe scaune unul trebuie amenajat pentru persoane cu dizabilit??i) + 1 loc pentru conduc?torul auto se acord? punctajul maxim: 10 puncte
c)   Pentru celelalte capacit??i ofertate P(Pth LOC) punctajul alocat se va calcula propor?ional, astfel 
Pth LOC = (Pth locuri ofertate / Pth locuri max) x Punctaj maxim alocat (10 puncte)
unde:
Pth LOC – punctaj aferent factorului de evaluare tehnic – Num?rul de locuri microbuz (max. 10p);
Pth locuri max – num?rul de locuri solicitat de autoritatea contractant?;
Pth locuri ofertate – num?rul de locuri prezentat de ofertantul ”n”","Number of minibus seats: The number of minibus seats, points are awarded as follows:
a)   For a capacity of 16 seats, of which 1 seat must be adapted for persons with disabilities (among the 16 seats one must be equipped for persons with disabilities) + 1 seat for the driver – no points are awarded
b)   For a capacity of 22 seats, of which 1 seat must be adapted for persons with disabilities (among the 22 seats one must be equipped for persons with disabilities) + 1 seat for the driver – the maximum score is awarded: 10 points
c)   For other offered capacities, the allocated points (Pth LOC) will be calculated proportionally as follows:
Pth LOC = (offered seats / maximum requested seats) × maximum allocated score (10 points)
where:
Pth LOC – score related to the technical evaluation factor – Number of minibus seats (max. 10 points);
Maximum requested seats – the number of seats requested by the contracting authority;
Offered seats – the number of seats presented by bidder “n”.",10
F,100200629,"Lan?ul de aprovizionare: Componenta tehnic?
„Lan?ul de aprovizionare” La, cu o valoare de 30 de puncte din totalul de 100 de puncte ?i cu o pondere de 30 % din totalul criteriului de atribuire, se va acorda dup? cum urmeaz?:, Algoritm de calcul: 
PLa(n) = [(La-Lamin)/(Lamax-Lamin)]*30 
Unde: PLa(n): punctajul ob?inut de c?tre Oferta “n” pentru factorul Lantul de aprovizionare; 
La – num?rul de repere livrate direct (de la produc?torul original la consumatorul final); 
Lamin - num?rul repere livrate direct (de la produc?torul original la consumatorul final) minim ofertat; 
Lamax - num?rul repere livrate direct (de la produc?torul original la consumatorul final) maxim ofertat; 

Lan? de aprovizionare scurt se în?elege rela?ia direct? dintre produc?tor ?i consumator, între care nu poate exista mai mul?i intermediari, unde:
a) produc?torul este persoana fizic? sau juridic? care produce bunurile ofertate.
c) consumatorul este utilizatorul final;
d) intermediar este orice distribuitor/depozitar/comerciant care asigur? furnizarea produselor de la produc?tor la consumator.

Ofertantul î?i va asuma procentul bunurilor/materialelor pentru care are calitatea de produc?tor printr-o declara?ie pe propria r?spundere. 
Ofertantul va prezenta documente/proceduri de lucru prin care demonstreaz? existen?a unei strategii de management asociate sistemelor informatice prin care se asigur? gestiunea lan?ului de aprovizionare conform nivelului ofertat.","Supply Chain: Technical Component
""Supply Chain"" La, with a value of 30 points out of a total of 100 points and a weight of 30% of the total award criteria, shall be awarded as follows:, Calculation algorithm:
PLa(n) = [(La?Lamin)/(Lamax?Lamin)]*30
Where: PLa(n): the score obtained by Offer ""n"" for the Supply Chain factor;
La – the number of items delivered directly (from the original producer to the final consumer);
Lamin – the minimum number of items delivered directly (from the original producer to the final consumer) offered;
Lamax – the maximum number of items delivered directly (from the original producer to the final consumer) offered;

A short supply chain is understood as the direct relationship between producer and consumer, where no additional intermediaries may exist, where:
a) the producer is the natural or legal person who manufactures the offered goods;
c) the consumer is the end?user;
d) an intermediary is any distributor/warehouseman/trader who ensures the provision of products from the producer to the consumer.

The tenderer shall assume the percentage of goods/materials for which it has the status of producer by a self?declaration.
The tenderer shall present documents/work procedures that demonstrate the existence of a management strategy linked to the IT systems that ensure supply?chain management in accordance with the offered level.",30
B,100200889,"Factorul F2 – Factori tehnici suplimentari ( conform grilei de punctaj ): Componenta tehnica, 1   Modificare unghi de vizibilitate a ecranului la 45O (Swivel 45O)   Monitorul ofertat trebuie s? permit? rotirea stânga/dreapta a ecranului, pe acela?i plan, pentru partajarea vizual? a con?inutului c?tre al?i utilizatori. Modalitatea de verificare - Fi?a tehnic? a produc?torului   - maxim 10 puncte
2   Ajustarea înal?imii monitorului minim 130 mm. Monitorul ofertat trebuie s? permit? ajustarea în?l?imii, pentru a oferi utilizatorilor o pozi?ionare ergonomic? ?i confort vizual în diverse condi?ii de lucru. Modalitatea de verificare -   Fi?a tehnic? a produc?torului - maxim 15 puncte
3   Confort vizual - Monitorul ofertat trebuie s? fie echipat cu tehnologie Flicker-Free (f?r? pâlpâiri), func?ie Low Blue Light sau orice alt? tehnologie certificat? pentru reducerea oboselii oculare în cazul utiliz?rii prelungite. Modalitatea de verificare -Fi?a tehnic? a produc?torului, certific?ri TÜV Rheinland sau echivalente - maxim 10 puncte
4   Garan?ie extins? – minim 3 ani. Asigurarea unei perioade de garan?ie extins? total?, de minimum 36 de luni, pentru echipamentele achizi?ionate. Modalitatea de verificare -Certificat de garan?ie emis de produc?tor sau furnizor; men?iune explicit? în oferta tehnic? ?i comercial?; verificare la momentul livr?rii -maxim 5 puncte

(Informatiile suplimentare privind aplicarea algoritmului de calcul se regasesc in caietul de sarcini la paginile 8-10)","Factor F2 – Additional technical factors (according to the scoring grid): Technical component,
1. Change of screen viewing angle to 45° (Swivel 45°). The offered monitor must allow left/right rotation of the screen on the same plane for visual sharing of content with other users. Verification method – Manufacturer's datasheet – maximum 10 points.
2. Minimum height adjustment of the monitor of 130?mm. The offered monitor must allow height adjustment to provide users with ergonomic positioning and visual comfort under various working conditions. Verification method – Manufacturer's datasheet – maximum 15 points.
3. Visual comfort – The offered monitor must be equipped with Flicker?Free technology (no flickering), Low Blue Light function, or any other certified technology for reducing eye fatigue during prolonged use. Verification method – Manufacturer's datasheet, TÜV Rheinland certifications or equivalents – maximum 10 points.
4. Extended warranty – minimum 3 years. Ensure an extended total warranty period of at least 36 months for the purchased equipment. Verification method – Warranty certificate issued by the manufacturer or supplier; explicit mention in the technical and commercial offer; verification at delivery – maximum 5 points.

(Additional information on the calculation algorithm can be found in the specifications booklet pages 8?10.)",40
