,match,criteria from actual contract in original Romanina,criteria from actural contract translated in English,id,criteria from actural contract translated in English.,criteria from actural contract translated in English.the the value,criteria from actual contract in original Romanian,criteria from actual contract translated in English,criteria from actural contract translated in English.the,criteria from actural contract translated in English.the the
0,,"Posibilitatea sistemului de colorare imunohistochimica de a folosi anticorpi de la alti producatori: Posibilitatea sistemului de colorare imunohistochimica de a folosi anticorpi de la alti producatori, Nu permite utilizarea de anticorpi de la alti furnizori, ci doar de la producatorul aparatului = 0 puncte
Sa fie de tip sistem deschis, adica sa permita folosirea de anticorpi primari achizitionati de la alti furnizori, nu doar de la producatorul aparatului. = 5 puncte","Possibility of the immunohistochemical staining system to use antibodies from other manufacturers: Does not allow the use of antibodies from other suppliers, only from the equipment manufacturer = 0 points.
It should be an open system, i.e., allow the use of primary antibodies purchased from other suppliers, not only from the equipment manufacturer = 5 points.",100201667,,,,,,
1,,"Capacitate de incarcare a sistemului de colorare imunohistochimica: Capacitate de incargere a sistemului de colorare imunohistochimica, 30 de lame = 0 puncte
Intre 31-50 de lame = 2 puncte
Peste 50 lame = 5 puncte","Loading capacity of the immunohistochemistry staining system: Loading capacity of the immunohistochemistry staining system, 30 slides = 0 points
Between 31-50 slides = 2 points
Over 50 slides = 5 points",100201667,,,,,,
2,,"Modalitatea de montare a lamelelor de catre montatorul automat: Modalitatea de montare a lamelelor de catre montatorul automat, Montarea lamelor sa se realizeze prin transferul lamelor in dispozitivul de montare printr-un brat = 0 puncte
Montarea lamelor sa se realizeze in acelasi instrument fara a fi nevoie de un brat separat de conectare = 5 puncte","Method of mounting the blades by the automatic installer: The method of mounting the blades by the automatic installer, mounting of the blades shall be carried out by transferring the blades into the mounting device using an arm = 0 points
Mounting of the blades shall be carried out in the same instrument without the need for a separate connecting arm = 5 points",100201667,,,,,,
3,,"Prevenirea riscului de cros-contaminare in coloratorul automat pentru coloratii uzuale: Prevenirea riscului de cros-contaminare in coloratorul automat pentru coloratii uzuale, Nu prezinta sistem de evitare a carryover-ului de reactivi prin introducerea rackurilor pana la nivelul lamelor si sa prezinte risc scazut de cros-contaminare = 0 puncte
Sa prezinte sistem de evitare a carryover-ului de reactivi prin introducerea rackurilor pana la nivelul lamelor si sa prezinte risc scazut de cros-contaminare = 5 puncte","Prevention of the risk of cross-contamination in the automatic colorant for usual dyes: Prevention of the risk of cross-contamination in the automatic colorant for usual dyes, Does not present a system to avoid carryover of reagents by placing racks up to the blade level and should present a low risk of cross-contamination = 0 points
Should present a system to avoid carryover of reagents by placing racks up to the blade level and should present a low risk of cross-contamination = 5 points",100201667,,,,,,
4,,"Compartimenatrea aparatului de colorare automata coloratii uzuale si montare: Compartimenatrea aparatului de colorare automata coloratii uzuale si montare, Nu realizeaza incalzirea (coacerea), deparafinarea, colorarea primara, montarea si uscarea lamelor dupa montare in interiorul aceleiasi incinte. = 0 puncte
Realizeaza incalzirea (coacerea), deparafinarea, colorarea primara, montarea si uscarea lamelor dupa montare in interiorul aceleiasi incinte. = 5 puncte","Compartmentalization of the automatic coloring apparatus for usual colors and assembly: Compartmentalization of the automatic coloring apparatus for usual colors and assembly, does not perform heating (baking), deparaffination, primary coloring, assembly and drying of the blades after assembly within the same room. = 0 points.
Performs heating (baking), deparaffination, primary coloring, assembly and drying of the blades after assembly within the same room. = 5 points.",100201667,,,,,,
5,,"EFICIENȚĂ ȘI SUSTENABILITATE: EFICIENȚĂ ȘI SUSTENABILITATE, 1. Punctajul aferent criteriului „Consum de energie”, se calculează conform formulei de mai jos:
Punctaj = 3 × (Cmin / Cn)
unde:
•   Cmin reprezintă valoarea celui mai redus consum de energie – exprimat in kWh, dintre ofertele admisibile;
•   Cn reprezintă consumul de energie – exprimat in kWh,  al ofertei analizate.
Punctajul maxim care poate fi acordat pentru cel mai mic consum de energie este de 3 puncte

2. Durată de viață mai mare de 3 ani peste perioada de garanție ; 3 ani = 0 puncte ;  Intre 3 si 5 ani = 2 puncte ;  Mai mare de 5 ani = 5 puncte .
3. Programe de buy-back și reciclare a echipamentului ; Ofertantul furnizeaza informatii in care precizeaza ca achizitia NU prevede programe de “buy-back"" aplicabile la finalul ciclului de viață al echipamentului. = 0 puncte ; Ofertantul furnizează informații care atestă existența unor programe de tip „buy-back” pentru echipamentul ofertat, valabile la încheierea ciclului său de viață. = 2 puncte.
4. Reducerea emisiilor și gestionarea sustenabilă a deșeurilor periculoase : Ofertantul furnizează informații din care NU reiese contribuția echipamentului la reducerea emisiilor de gaze cu efect de seră și detalii referitoare la deșeurile periculoase generate în timpul utilizării, respectiv la modalitățile de reducere a acestora din care NU reiese gestionarea sustenabilă a acestora = o puncte ; Ofertantul furnizează informații privind contribuția echipamentului la reducerea emisiilor de gaze cu efect de seră. = 1 punct ; Ofertantul furnizează informații privind tipurile de deșeuri periculoase rezultate în urma utilizării echipamentului, precum și măsurile propuse pentru reducerea și gestionarea sustenabilă a acestora = 1 punct.","EFFICIENCY AND SUSTAINABILITY: EFFICIENCY AND SUSTAINABILITY, 1. The score for the ""Energy consumption"" criterion is calculated according to the formula below:
Score = 3 × (Cmin / Cn)
where:
• Cmin is the value of the lowest energy consumption – expressed in kWh – among the admissible offers;
• Cn is the energy consumption – expressed in kWh – of the offer being evaluated.
The maximum score that can be awarded for the lowest energy consumption is 3 points.

2. Service life longer than 3 years beyond the warranty period; 3 years = 0 points; between 3 and 5 years = 2 points; more than 5 years = 5 points.
3. Buy‑back and equipment recycling programmes; The bidder provides information indicating that the purchase does NOT include ""buy‑back"" programmes applicable at the end of the equipment's life cycle = 0 points; The bidder provides information confirming the existence of ""buy‑back"" programmes for the offered equipment, valid at the end of its life cycle = 2 points.
4. Reduction of emissions and sustainable management of hazardous waste: The bidder provides information that does NOT show the equipment's contribution to reducing greenhouse gas emissions and does not give details on hazardous waste generated during use or on measures to reduce them, thus NOT showing sustainable management of such waste = 0 points; The bidder provides information on the equipment's contribution to reducing greenhouse gas emissions = 1 point; The bidder provides information on the types of hazardous waste generated by the equipment and the proposed measures for reducing and sustainably managing that waste = 1 point.",100201667,,,,,,
6,,"GARANȚIE ȘI SERVICE: GARANȚIE ȘI SERVICE, 1. Garanție extinsă peste 24 de luni : 24 LUNI= 0 PUNCTE ; 25-35 luni = 2 PUNCTE ; Peste 36 de luni = 4 PUNCTE.
2. Timp de răspuns mai rapid decât 72 ore : 48 ore = 0 PUNCTE ; Mai puțin de 48 ore = 3 PUNCTE.
3. Service Postgarantie  : 6 ani = 0 PUNCTE ; Peste 6 ani = 3 PUNCTE.","WARRANTY AND SERVICE: WARRANTY AND SERVICE, 1. Extended warranty beyond 24 months: 24 MONTHS = 0 POINTS; 25-35 months = 2 POINTS; More than 36 months = 4 POINTS.
2. Response time faster than 72 hours: 48 hours = 0 POINTS; Less than 48 hours = 3 POINTS.
3. Post-warranty service: 6 years = 0 POINTS; More than 6 years = 3 POINTS.",100201667,,,,,,
7,,"Perioada de garanție a lucrărilor: Perioada de garanție a lucrărilor, Pentru ofertele care prezintă o perioadă de garanție a lucrărilor de 60 de luni se va acorda punctajul maxim, respectiv 25 puncte.
Pentru ofertarea unei perioade de garanție minimă de 36 de luni se acordă 1 punct.
Ofertele cu perioada de garanție a lucrărilor mai mică de 36 de luni sunt declarate neconforme.
Se acorda punctaj intermediar pentru intervalul cuprins între 37 luni (inclusiv) și 59 luni (inclusiv) cate 1 punct pentru fiecare lună acordată suplimentar.
Nu se acorda punctaj intermediar pentru intervale mai mici de 1 lună.
Nota 1: Pentru ofertele care prezintă perioada de garanţie a lucrărilor exprimată în număr de zile sau dacă numărul de luni prezentat este sub formă de zecimale se va lua în considerare doar numărul întreg de luni. (ex 1: 1.404 de zile = 1.404 zile / 30 zile = 46,80 luni - se punctează 46 de  luni; ex. 2: 38,2 luni se punctează 38 de luni).
Nota 2: Ofertantul își va demonstra cele declarate în ofertă referitor la perioada de garanție prin specificarea materialelor și tehnologiilor pe care le va utiliza și pe care le consideră ca pot asigura calitatea necesară.
Prin propunerea tehnică ofertantul va descrie modul în care planul de management al calității va asigura nivelul necesar de calitate al rezultatelor sale și al procesele de lucru, prin prezentarea abordării generale și metodologiei pentru realizarea activităților din cadrul contractului, inclusiv descrieri detaliate ale metodelor de lucru pentru componentele majore ale lucrărilor precum și materialele pe care le va pune în operă, astfel încât ofertarea unei garanții extinse a lucrărilor să nu se facă doar la nivel declarativ în vederea obținerii unui punctaj mare pentru acest factor de evaluare. Neprezentarea acestor informații în cadrul propunerii tehnice va conduce la neacordarea punctajului aferent factorului de evaluare ce vizează perioada de garanție a lucrărilor suplimentar ofertată.","Warranty period for the works: For offers that present a warranty period of 60 months, the maximum score of 25 points will be awarded.
For offering a minimum warranty period of 36 months, 1 point is awarded.
Offers with a warranty period of less than 36 months are declared non‑compliant.
An intermediate score is given for the range between 37 months (inclusive) and 59 months (inclusive), at a rate of 1 point for each additional month.
No intermediate score is given for intervals smaller than 1 month.
Note 1: For offers that express the warranty period in days, or where the number of months is given in decimals, only the whole number of months is considered (e.g., 1,404 days = 1,404 / 30 = 46.80 months – scored as 46 months; e.g., 38.2 months scored as 38 months).
Note 2: The bidder must demonstrate the statements made in the offer regarding the warranty period by specifying the materials and technologies to be used that are considered able to ensure the required quality.
In the technical proposal, the bidder will describe how the quality management plan will ensure the necessary quality level of the results and the work processes, by presenting the general approach and methodology for carrying out the contract activities, including detailed descriptions of the work methods for the major components of the works as well as the materials to be employed, so that an extended warranty is not offered merely declaratively to obtain a high score for this evaluation factor. Failure to present this information in the technical proposal will lead to no points being awarded for the evaluation factor concerning the additionally offered warranty period.",100201686,,,,,,
8,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component, the score is awarded as follows: a) For the lowest of the prices, the maximum allocated score is awarded; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Minimum offered price / Price n) × maximum allocated score.",100201686,,,,,,
9,,"Experiența deținută de Manager Proiect sau Director Proiect sau Coordonator Proiect: Experiența deținută de Managerul Proiect și/sau Directorul Proiect și/sau Coordonatorul Proiect în cadrul unor contracte de execuție lucrări de construcție nouă și/ sau modernizare și/sau reabilitare și/sau lărgire și/sau consolidare de drumuri județene și/sau drumuri naționale și/ sau drumuri expres si/ sau autostrăzi., Participarea expertului propus în poziția de Manager Proiect și/sau Director Proiect și/sau Coordonator Proiect în cadrul unor contracte de execuție lucrări de construcție nouă și/ sau modernizare și/sau reabilitare și/sau lărgire și/sau consolidare de drumuri județene și/sau drumuri naționale și/ sau drumuri expres si/ sau autostrăzi, se va puncta astfel:
participarea în 2 contracte: 10 puncte;
participarea în 3 contracte: 15 puncte;
participarea în 4 sau mai multe contracte: 20 puncte
Nu se acordă punctaj pentru participarea în mai puțin de 2 contracte.
În vederea acordării punctajului, ofertanții vor depune Formularul nr. 9 - „Declarație de disponibilitate”, Formularul nr. 10 - „Curriculum Vitae”, documente relevante/ recomandări emise de Beneficiar/Angajator pentru fiecare contract prezentat în vederea acordării punctajului.","Experience held by a Project Manager or Project Director or Project Coordinator: Experience held by the Project Manager and/or Project Director and/or Project Coordinator within execution contracts for new construction works and/or modernization and/or rehabilitation and/or widening and/or consolidation of county roads and/or national roads and/or express roads and/or motorways. The participation of the proposed expert in the position of Project Manager and/or Project Director and/or Project Coordinator within such execution contracts will be scored as follows:
- participation in 2 contracts: 10 points;
- participation in 3 contracts: 15 points;
- participation in 4 or more contracts: 20 points.
No points are awarded for participation in fewer than 2 contracts.
To award points, bidders must submit Form No. 9 – “Declaration of Availability”, Form No. 10 – “Curriculum Vitae”, and relevant documents/recommendations issued by the Beneficiary/Employer for each contract presented for scoring.",100201686,,,,,,
10,,"Experiența deținută de Șeful echipei de proiectare: Experiența deținută de Șeful echipei de proiectare în cadrul unor contracte de proiectare lucrări de construcție nouă și/ sau modernizare și/sau reabilitare și/sau lărgire și/sau consolidare de drumuri județene și/sau drumuri naționale și/ sau drumuri expres si/ sau autostrăzi., Participarea expertului propus în poziția de Șef echipă de proiectare în cadrul unor contracte de proiectare lucrări de construcție nouă și/ sau modernizare și/sau reabilitare și/sau lărgire și/sau consolidare de drumuri județene și/sau drumuri naționale și/ sau drumuri expres si/ sau autostrăzi, se va puncta astfel:
participarea în 2 contracte: 7 puncte;
participarea în 3 contracte: 11,25 puncte;
participarea în 4 sau mai multe contracte: 15 puncte.
Nu se acordă punctaj pentru participarea în mai puțin de 2 contracte.
În vederea acordării punctajului, ofertanții vor depune Formularul nr. 9 - „Declarație de disponibilitate”, Formularul nr. 10 - „Curriculum Vitae”, documente relevante/ recomandări emise de Beneficiar/Angajator pentru fiecare contract prezentat în vederea acordării punctajului.","Experience held by the Head of the design team: Experience held by the Head of the design team in design contracts for new construction works and/or modernization and/or rehabilitation and/or widening and/or consolidation of county roads and/or national roads and/or express roads and/or motorways. The participation of the proposed expert in the position of Head of the design team in design contracts for new construction works and/or modernization and/or rehabilitation and/or widening and/or consolidation of county roads and/or national roads and/or express roads and/or motorways will be scored as follows:
participation in 2 contracts: 7 points;
participation in 3 contracts: 11.25 points;
participation in 4 or more contracts: 15 points.
No points are awarded for participation in fewer than 2 contracts.
In order to award points, bidders must submit Form No. 9 – “Availability Declaration”, Form No. 10 – “Curriculum Vitae”, relevant documents/recommendations issued by the Beneficiary/Employer for each contract presented for point allocation.",100201686,,,,,,
11,,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component, points are awarded as follows: a) The lowest among the prices receives the maximum allocated points; b) For the other offered prices the points P(n) are calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) × maximum allocated points.",100201637,,,,,,
12,,"Termenul de livrare: Componenta tehnica 1, Punctajul se va acorda astfel:
- pentru termenul de livrare cel mai scurt se acordă punctaj maxim: 30 puncte;
- pentru celelalte oferte, punctajul se acordă conform algoritmului:
   P2=(Termen cel mai scurt/Termen de livrare ofertat) x 30

* Ofertele al căror termen de livrare depăşeşte termenul maxim stabilit de autoritatea contractantă (3 luni/90 zile) vor fi considerate ca neconforme. Termenele de livrare vor fi exprimate în zile.","Delivery term: Technical component 1, points will be awarded as follows:
- for the shortest delivery term the maximum points are awarded: 30 points;
- for the other offers, points are awarded according to the algorithm:
   P2 = (Shortest term / Offered delivery term) x 30

* Offers whose delivery term exceeds the maximum term set by the contracting authority (3 months / 90 days) will be considered non‑compliant. Delivery terms will be expressed in days.",100201637,,,,,,
