,match,criteria_from_actual_contract_in_original_romanian,criteria_from_actual_contract_translated_in_english,id,criteria from actual contract in original Romanina,criteria from actural contract translated in English
0,No match,"Nivelul sonor în mers al vehiculului: Componenta tehnică, a) Pentru valoarea cea mai scăzută se acordă 5 puncte.  b) Pentru celelalte oferte admisibile punctajul se va calcula conform formulei: P(sonormers)oferta(n)= (valoarea cea mai scăzută/valoare oferta(n))*punctaj maxim alocat. Pentru acest factor de evaluare se vor lua în considerare valorile din rubrica U.3. a cărții de identitate a vehiculului de bază din care se compune sistemul în configurația solicitată pentru un vehicul identic cu cel din ofertă, sau din certificatul de conformitate UE al omologării de tip a aceluiași vehicul. Notă: Algoritmul de calcul al punctajului/punctajului total este precizat în secțiunea VI ""Alte informații"", Nota 4.","Vehicle drive-by noise level: Technical component, a) 5 points are awarded for the lowest value. b) For the other admissible bids, the score will be calculated according to the formula: P(drive-by noise)_offer(n) = (lowest value / value of offer(n)) * maximum allocated score. For this evaluation factor, the values in field U.3 of the identity card of the base vehicle from which the system is composed, in the requested configuration for a vehicle identical to the one in the offer, or from the EU certificate of conformity of the type-approval of the same vehicle, will be taken into account. Note: The algorithm for calculating the score/total score is specified in Section VI ""Other information"", Note 4.",100199898,,
1,No match,"Nivelul sonor în staționare al vehiculului: Componenta tehnică, a) Pentru valoarea cea mai scăzută se acordă 5 puncte. b)   Pentru celelalte oferte admisibile punctajul se va calcula conform formulei: P(sonorstaționare)oferta(n)= (valoarea cea mai scăzută/valoare oferta(n))*punctaj maxim alocat. Pentru acest factor de evaluare se vor lua în considerare valorile din rubrica U.1 a cărții de identitate a vehiculului de bază din care se compune sistemul în configurația solicitată pentru un vehicul identic cu cel din ofertă sau din certificatul de conformitate UE al omologării de tip a aceluiași vehicul. Oferta care va prezenta posibilitatea efectuarii acestei cerinte tehnice tehnic va fi punctata cu 15 puncte . Notă: Algoritmul de calcul al punctajului/punctajului total este precizat în secțiunea VI ""Alte informații"", Nota 4.","Vehicle sound level at idle: Technical component: a) 5 points are awarded for the lowest value. b) For the other admissible offers, the score will be calculated according to the formula: P(idle noise) offer(n) = (lowest value / value of offer(n)) * maximum allocated score. For this evaluation factor, the values in box U.1 of the identity card of the base vehicle from which the system is composed, in the requested configuration for a vehicle identical to the one in the offer, or from the EU certificate of conformity of the type approval of the same vehicle, will be taken into account. The offer that demonstrates the possibility of fulfilling this technical requirement will be awarded 15 points. Note: The algorithm for calculating the score/total score is specified in Section VI ""Other information"", Note 4.",100199898,,
2,No match,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) For the lowest of the prices, the maximum allocated score is awarded; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",100199903,,
3,none,"Componenta tehnica
Experienţa deţinută de MANAGERUL DE PROIECT – (P2): Experienţa constând în implicarea pe o poziţie similară (Coordonator Proiect şi/sau Director Proiect şi/sau Manager Proiect şi/sau Adjunct Coordonator Proiect şi/sau Adjunct Director Proiect şi/sau Adjunct Manager Proiect) sau cu atribuţii similare în cadrul unor proiecte/contracte finalizate ce presupune proiectare şi execuţie, şi/sau execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), Experienţa constând în implicarea pe o poziţie similară (Coordonator Proiect şi/sau Director Proiect şi/sau Manager Proiect şi/sau Adjunct Coordonator Proiect şi/sau Adjunct Director Proiect şi/sau Adjunct Manager Proiect) sau cu atribuţii similare în cadrul unor proiecte/contracte finalizate ce presupune proiectare şi execuţie, şi/sau execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), se va puncta astfel:
a) Pentru participarea în calitate de Coordonator Proiect şi/sau Director Proiect şi/sau Manager Proiect şi/sau Adjunct Coordonator Proiect şi/sau Adjunct Director Proiect şi/sau Adjunct Manager Proiect, în cadrul a 2 (două) proiecte/contracte finalizate ce presupune proiectare şi execuţie, şi/sau execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), se acordă 6 puncte;
b) Pentru participarea în calitate de Coordonator Proiect şi/sau Director Proiect şi/sau Manager Proiect şi/sau Adjunct Coordonator Proiect şi/sau Adjunct Director Proiect şi/sau Adjunct Manager Proiect, în cadrul a 3 (trei) sau mai mult de 3(trei) proiecte/contracte finalizate ce presupune proiectare şi execuţie, şi/sau execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), se acordă 12 puncte.
Nota 1: (...)DATORITA NUMARULUI LIMITAT DE CARACTERE SE VA CONSULTA OBLIGATORIU TEXTUL INTEGRAL PREZENTAT IN ANEXA 1 LA DOCUMENTATIA DE ATRIBUIRE","Technical component
Experience of the PROJECT MANAGER – (P2): Experience consisting of involvement in a similar position (Project Coordinator and/or Project Director and/or Project Manager and/or Deputy Project Coordinator and/or Deputy Project Director and/or Deputy Project Manager) or with similar duties within completed projects/contracts that involved design and execution, and/or execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation concerning: bicycle lanes, cycle tourism routes or similar, streets within the built-up areas of municipalities, communal roads, exploitation roads, county roads and/or any higher category of road (motorways and/or national roads and/or expressways). Experience consisting of involvement in a similar position (Project Coordinator and/or Project Director and/or Project Manager and/or Deputy Project Coordinator and/or Deputy Project Director and/or Deputy Project Manager) or with similar duties within completed projects/contracts that involved design and execution, and/or execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation concerning: bicycle lanes, cycle tourism routes or similar, streets within the built-up areas of municipalities, communal roads, exploitation roads, county roads and/or any higher category of road (motorways and/or national roads and/or expressways) will be scored as follows:
a) For participation as Project Coordinator and/or Project Director and/or Project Manager and/or Deputy Project Coordinator and/or Deputy Project Director and/or Deputy Project Manager, in 2 (two) completed projects/contracts that involved design and execution, and/or execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation concerning: bicycle lanes, cycle tourism routes or similar, streets within the built-up areas of municipalities, communal roads, exploitation roads, county roads and/or any higher category of road (motorways and/or national roads and/or expressways), 6 points are awarded;
b) For participation as Project Coordinator and/or Project Director and/or Project Manager and/or Deputy Project Coordinator and/or Deputy Project Director and/or Deputy Project Manager, in 3 (three) or more than 3 (three) completed projects/contracts that involved design and execution, and/or execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation concerning: bicycle lanes, cycle tourism routes or similar, streets within the built-up areas of municipalities, communal roads, exploitation roads, county roads and/or any higher category of road (motorways and/or national roads and/or expressways), 12 points are awarded.
Note 1: (...) Due to the limited number of characters, the full text presented in Annex 1 to the award documentation must be consulted.",100199903,,
4,No match,"Componenta tehnica
Experienţa deţinută de ŞEFUL ECHIPEI DE PROIECTARE – INGINER PROIECTANT CFDP – (P3): Experienţa constând în implicarea pe o poziţie similară (Coordonator Proiect şi/sau Director Proiect şi/sau Manager Proiect şi/sau Adjunct Coordonator Proiect şi/sau Adjunct Director Proiect şi/sau Adjunct Manager Proiect) sau cu atribuţii similare în cadrul unor proiecte/contracte finalizate ce presupune proiectare (faza PT) de lucrări similare şi/sau proiectare şi execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), poduri şi podeţe, Experienţa constând în implicarea pe o poziţie similară (Coordonator Proiect şi/sau Director Proiect şi/sau Manager Proiect şi/sau Adjunct Coordonator Proiect şi/sau Adjunct Director Proiect şi/sau Adjunct Manager Proiect) sau cu atribuţii similare în cadrul unor proiecte/contracte finalizate ce presupune proiectare (faza PT) de lucrări similare şi/sau proiectare şi execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), poduri şi podeţe, se va puncta astfel:
a) Pentru participarea în calitate de Coordonator Proiect şi/sau Director Proiect şi/sau Manager Proiect şi/sau Adjunct Coordonator Proiect şi/sau Adjunct Director Proiect şi/sau Adjunct Manager Proiect, în cadrul a 2 (două) proiecte/contracte finalizate ce presupune proiectare (faza PT) de lucrări similare şi/sau proiectare şi execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres) poduri şi podeţe, se acordă 6 puncte;
b) Pentru participarea în calitate de Coordonator Proiect şi/sau Director Proiect şi/sau Manager Proiect şi/sau Adjunct Coordonator Proiect şi/sau Adjunct Director Proiect şi/sau Adjunct Manager Proiect, în cadrul a 3 (trei) sau mai mult de 3(trei) proiecte/contracte finalizate ce presupune proiectare (faza PT) de lucrări similare şi/sau proiectare şi execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), poduri şi podeţe, se acordă 12 puncte.
Nota 1: (...)DATORITA NUMARULUI LIMITAT DE CARACTERE SE VA CONSULTA OBLIGATORIU TEXTUL INTEGRAL PREZENTAT IN ANEXA 1 LA DOCUMENTATIA DE ATRIBUIRE","Technical component
Experience of the HEAD OF THE DESIGN TEAM – CFDP DESIGN ENGINEER – (P3): Experience consisting of involvement in a similar position (Project Coordinator and/or Project Director and/or Project Manager and/or Deputy Project Coordinator and/or Deputy Project Director and/or Deputy Project Manager) or with similar responsibilities within completed projects/contracts that involve design (Technical Design phase - PT) of similar works and/or design and execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation regarding: bicycle lanes, cycle-tourism routes or similar, streets within the built-up area of municipalities, communal roads, operational roads, county roads and/or any higher category of road (motorways and/or national roads and/or express roads), bridges and culverts. Experience consisting of involvement in a similar position (Project Coordinator and/or Project Director and/or Project Manager and/or Deputy Project Coordinator and/or Deputy Project Director and/or Deputy Project Manager) or with similar responsibilities within completed projects/contracts that involve design (Technical Design phase - PT) of similar works and/or design and execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation regarding: bicycle lanes, cycle-tourism routes or similar, streets within the built-up area of municipalities, communal roads, operational roads, county roads and/or any higher category of road (motorways and/or national roads and/or express roads), bridges and culverts), will be scored as follows:
a) For participation as Project Coordinator and/or Project Director and/or Project Manager and/or Deputy Project Coordinator and/or Deputy Project Director and/or Deputy Project Manager, within 2 (two) completed projects/contracts that involve design (Technical Design phase - PT) of similar works and/or design and execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation regarding: bicycle lanes, cycle-tourism routes or similar, streets within the built-up area of municipalities, communal roads, operational roads, county roads and/or any higher category of road (motorways and/or national roads and/or express roads), bridges and culverts), 6 points are awarded;
b) For participation as Project Coordinator and/or Project Director and/or Project Manager and/or Deputy Project Coordinator and/or Deputy Project Director and/or Deputy Project Manager, within 3 (three) or more than 3 (three) completed projects/contracts that involve design (Technical Design phase - PT) of similar works and/or design and execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation regarding: bicycle lanes, cycle-tourism routes or similar, streets within the built-up area of municipalities, communal roads, operational roads, county roads and/or any higher category of road (motorways and/or national roads and/or express roads), bridges and culverts), 12 points are awarded.
Note 1: Due to the limited number of characters, the full text presented in Annex 1 to the award documentation must be consulted.",100199903,,
5,No match,"Componenta tehnica
Experienţa deţinută de ŞEFUL DE ŞANTIER – INGINER PROIECTANT CFDP – (P4): Experienţa constând în implicarea în cadrul unor proiecte/contracte finalizate ce presupune execuţie de lucrări similare şi/sau proiectare şi execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), poduri şi podeţe, Experienţa constând în cadrul unor proiecte/contracte finalizate ce presupune execuţie de lucrări similare şi/sau proiectare şi execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), poduri şi podeţe, se va puncta astfel:
a) Pentru participarea în cadrul a 2 (două) proiecte/contracte finalizate ce presupune execuţie de lucrări similare şi/sau proiectare şi execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), poduri şi podeţe, se acordă 6 puncte;
b) Pentru participarea în cadrul a 3 (trei) sau mai mult de 3(trei) proiecte/contracte finalizate ce presupune execuţie de lucrări similare şi/sau proiectare şi execuţie de lucrări similare celor din caietul de sarcini, (respectiv construcţie nouă şi/sau modernizare şi/sau lărgire şi/sau reabilitare privind: piste biciclete, trasee cicloturistice sau similar, străzi din intravilanul municipiilor, drumuri comunale, exploatare, judeţene şi/sau orice categorie superioară de drum (autostrăzi şi/sau drumuri naţionale şi/sau expres), poduri şi podeţe, se acordă 12 puncte.
Nota 1: (...)DATORITA NUMARULUI LIMITAT DE CARACTERE SE VA CONSULTA OBLIGATORIU TEXTUL INTEGRAL PREZENTAT IN ANEXA 1 LA DOCUMENTATIA DE ATRIBUIRE","Technical component
Experience held by the Site Manager – CFDP Design Engineer – (P4): Experience consisting in involvement in completed projects/contracts that entail execution of similar works and/or design and execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation regarding: bicycle lanes, cycle-tourism routes or similar, streets within municipalities, communal, exploitation and county roads, and/or any higher category of road (motorways and/or national and/or express roads), bridges and culverts). Experience consisting in completed projects/contracts that entail execution of similar works and/or design and execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation regarding: bicycle lanes, cycle-tourism routes or similar, streets within municipalities, communal, exploitation and county roads, and/or any higher category of road (motorways and/or national and/or express roads), bridges and culverts) will be scored as follows:
a) For participation in 2 (two) completed projects/contracts that entail execution of similar works and/or design and execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation regarding: bicycle lanes, cycle-tourism routes or similar, streets within municipalities, communal, exploitation and county roads, and/or any higher category of road (motorways and/or national and/or express roads), bridges and culverts), 6 points are awarded;
b) For participation in 3 (three) or more than 3 (three) completed projects/contracts that entail execution of similar works and/or design and execution of works similar to those in the specifications (namely new construction and/or modernization and/or widening and/or rehabilitation regarding: bicycle lanes, cycle-tourism routes or similar, streets within municipalities, communal, exploitation and county roads, and/or any higher category of road (motorways and/or national and/or express roads), bridges and culverts), 12 points are awarded.
Note 1: Due to the limited number of characters, the full text presented in Annex 1 to the award documentation must be consulted.",100199903,,
6,no_match,"Componenta tehnica
Demonstrarea unei metodologii adecvate de implementare a contractului, precum şi o planificare adecvată a resurselor umane şi a activităţilor – Abordarea propusă pentru implementarea contractului – (P5): Demonstrarea unei metodologii adecvate de implementare a contractului, precum şi o planificare adecvată a resurselor umane şi a activităţilor – Abordarea propusă pentru implementarea contractului, Demonstrarea unei metodologii adecvate de implementare a contractului, precum şi o planificare adecvată a resurselor umane şi a activităţilor – Abordarea propusă pentru implementarea contractului, se va puncta astfel:
a) Dacă abordarea propusă pentru implementarea contractului este corelată cu specificul contractului şi cu necesităţile obiectivului de investiţii, respectiv abordarea propusă se bazează în mare măsură pe o serie de metodologii, metode şi/sau instrumente testate1), recunoscute2) şi care demonstrează o foarte bună înţelegere a contextului, respectiv a particularităţii sarcinilor stabilite în caietul de sarcini, în corelaţie cu aspectele-cheie, precum şi cu riscurile şi ipotezele identificate, se acordă 12 puncte;
b) Dacă abordarea propusă pentru implementarea contractului este parţial corelată cu specificul contractului şi cu necesităţile obiectivului de investiţii, respectiv abordarea propusă se bazează parţial pe metodologii, metode şi/sau instrumente testate, recunoscute şi care demonstrează înţelegerea contextului, respectiv a particularităţii sarcinilor stabilite în caietul de sarcini, în corelaţie cu aspectele-cheie, precum şi cu riscurile şi ipotezele identificate, se acordă 8 puncte;
c) Dacă abordarea propusă pentru implementarea contractului este puţin corelată cu specificul contractului şi cu necesităţile obiectivului de investiţii, respectiv abordarea propusă nu are la bază metodologii, metode şi/sau instrumente testate, recunoscute şi arată o înţelegere limitată a contextului, respectiv a particularităţii sarcinilor stabilite în caietul de sarcini, se acordă 4 puncte.
Nota 1:
1) Metodologiile, metodele şi/sau instrumentele au fost utilizate în alte proiecte.
2) Metodologiile, metodele şi/sau instrumentele sunt descrise în literatura de specialitate.

Nota 2: Ofertanţii vor analiza informaţiile furnizate în cadrul Metodologiei de lucru propuse – capitolul 10 CERINŢELE AUTORITĂŢII CONTRACTANTE PRIVIND ÎNTOCMIREA PROPUNERII TEHNICE din CAIETUL DE SARCINI al achiziţiei.","Technical component
Demonstration of an adequate methodology for implementing the contract, as well as appropriate planning of human resources and activities – Proposed approach for implementing the contract – (P5): Demonstration of an adequate methodology for implementing the contract, as well as appropriate planning of human resources and activities – Proposed approach for implementing the contract, Demonstration of an adequate methodology for implementing the contract, as well as appropriate planning of human resources and activities – Proposed approach for implementing the contract, will be scored as follows:
a) If the proposed approach for implementing the contract is correlated with the specific nature of the contract and the needs of the investment objective, namely the proposed approach is largely based on a series of tested1), recognized2) methodologies, methods and/or tools and demonstrates a very good understanding of the context, namely the particularities of the tasks set out in the specifications, in correlation with key aspects, as well as with the identified risks and assumptions, 12 points are awarded;
b) If the proposed approach for implementing the contract is partially correlated with the specific nature of the contract and the needs of the investment objective, namely the proposed approach is partially based on tested, recognized methodologies, methods and/or tools and demonstrates understanding of the context, namely the particularities of the tasks set out in the specifications, in correlation with key aspects, as well as with the identified risks and assumptions, 8 points are awarded;
c) If the proposed approach for implementing the contract is weakly correlated with the specific nature of the contract and the needs of the investment objective, namely the proposed approach is not based on tested, recognized methodologies, methods and/or tools and shows a limited understanding of the context, namely the particularities of the tasks set out in the specifications, 4 points are awarded.
Note 1:
1) The methodologies, methods and/or tools have been used in other projects.
2) The methodologies, methods and/or tools are described in the specialized literature.

Note 2: Bidders shall analyze the information provided in the Proposed working methodology – Chapter 10 THE CONTRACTING AUTHORITY’S REQUIREMENTS REGARDING THE PREPARATION OF THE TECHNICAL PROPOSAL from the procurement’s Specifications.",100199903,,
7,none,"Componenta tehnica
Atribuţiile membrilor echipei în implementarea activităţilor contractului şi, dacă este cazul, contribuţia fiecărui membru al grupului de operatori economici, precum şi distribuirea şi interacţiunea sarcinilor şi responsabilităţilor dintre ei – (P6): Demonstrarea unei metodologii adecvate de implementare a contractului, precum şi o planificare adecvată a resurselor umane şi a activităţilor – Atribuţiile membrilor echipei în implementarea activităţilor contractului şi, dacă este cazul, contribuţia fiecărui membru al grupului de operatori economici, precum şi distribuirea şi interacţiunea sarcinilor şi responsabilităţilor dintre ei, Demonstrarea unei metodologii adecvate de implementare a contractului, precum şi o planificare adecvată a resurselor umane şi a activităţilor – Atribuţiile membrilor echipei în implementarea activităţilor contractului şi, dacă este cazul, contribuţia fiecărui membru al grupului de operatori economici, precum şi distribuirea şi interacţiunea sarcinilor şi responsabilităţilor dintre ei, se va puncta astfel:
a) Dacă sunt indicate responsabilităţile în execuţia contractului şi interacţiunea între membrii echipei, inclusiv cele referitoare la managementul contractului, activităţile suport şi, dacă este cazul, distribuirea şi interacţiunea sarcinilor şi responsabilităţilor între operatorii din cadrul grupului (dacă este cazul), se acordă 12 puncte;
b) Dacă sunt indicate parţial responsabilităţile în execuţia contractului şi interacţiunea între membrii echipei, inclusiv cele referitoare la managementul contractului, activităţile de suport şi, dacă este cazul, distribuirea şi interacţiunea sarcinilor şi responsabilităţilor între operatorii din cadrul grupului (dacă este cazul), se acordă 8 puncte;
c) Dacă sunt indicate în mod limitat responsabilităţile în execuţia contractului sau interacţiunea între membrii echipei, inclusiv cele referitoare la managementul contractului, activităţile de suport sau distribuirea şi interacţiunea sarcinilor şi responsabilităţilor între operatorii din cadrul grupului (dacă este cazul), se acordă 4 puncte.
Nota 1: (...)DATORITA NUMARULUI LIMITAT DE CARACTERE SE VA CONSULTA OBLIGATORIU TEXTUL INTEGRAL PREZENTAT IN ANEXA 1 LA DOCUMENTATIA DE ATRIBUIRE

Punctajul tehnic se acordă astfel:
Ptehnic: (P2)+(P3)+(P4)+(P5)+(P6), unde:
- (P2) reprezintă punctajul acordat factorului de evaluare – componenta tehnică: experienţa deţinută de expertul-cheie MANAGER DE PROIECT;
- (P3) reprezintă punctajul acordat factorului de evaluare – componenta tehnică: experienţa deţinută de expertul-cheie ŞEF ECHIPĂ DE PROIECTARE – INGINER PROIECTANT CFDP;
- (P4) reprezintă punctajul acordat factorului de evaluare – componenta tehnică: experienţa deţinută de expertul-cheie ŞEF DE ŞANTIER – INGINER PROIECTANT CFDP;
- (P5) reprezintă punctajul acordat factorului de evaluare – componenta tehnică: Demonstrarea unei metodologii adecvate de implementare a contractului, precum şi o planificare adecvată a resurselor umane şi a activităţilor – Abordarea propusă pentru implementarea contractului;
- (P6) reprezintă punctajul acordat factorului de evaluare – componenta tehnică: Demonstrarea unei metodologii adecvate de implementare a contractului, precum şi o planificare adecvată a resurselor umane şi a activităţilor – Atribuţiile membrilor echipei în implementarea activităţilor contractului şi, dacă este cazul, contribuţia fiecărui membru al grupului de operatori economici, precum şi distribuirea şi interacţiunea sarcinilor şi responsabilităţilor dintre ei.
Punctajul total al fiecarei oferte se calculează pe baza formulei: Ptotal = Pfinanciar + Ptehnic","Technical component
The duties of the team members in implementing the contract activities and, where applicable, the contribution of each member of the group of economic operators, as well as the distribution and interaction of tasks and responsibilities between them – (P6): Demonstration of an adequate methodology for contract implementation, as well as adequate planning of human resources and activities – The duties of the team members in implementing the contract activities and, where applicable, the contribution of each member of the group of economic operators, as well as the distribution and interaction of tasks and responsibilities between them. The demonstration of an adequate methodology for contract implementation, as well as adequate planning of human resources and activities – The duties of the team members in implementing the contract activities and, where applicable, the contribution of each member of the group of economic operators, as well as the distribution and interaction of tasks and responsibilities between them will be scored as follows:
a) If the responsibilities in the execution of the contract and the interaction between team members are indicated, including those related to contract management, support activities and, where applicable, the distribution and interaction of tasks and responsibilities between the operators within the group (where applicable), 12 points are awarded;
b) If the responsibilities in the execution of the contract and the interaction between team members are partially indicated, including those related to contract management, support activities and, where applicable, the distribution and interaction of tasks and responsibilities between the operators within the group (where applicable), 8 points are awarded;
c) If the responsibilities in the execution of the contract or the interaction between team members are indicated in a limited manner, including those related to contract management, support activities or the distribution and interaction of tasks and responsibilities between the operators within the group (where applicable), 4 points are awarded.
Note 1: (...) DUE TO THE LIMITED NUMBER OF CHARACTERS, THE FULL TEXT PRESENTED IN ANNEX 1 TO THE AWARD DOCUMENTATION MUST BE CONSULTED.

The technical score is awarded as follows:
Ptechnical: (P2)+(P3)+(P4)+(P5)+(P6), where:
- (P2) represents the score awarded to the evaluation factor – technical component: the experience of the key expert PROJECT MANAGER;
- (P3) represents the score awarded to the evaluation factor – technical component: the experience of the key expert TEAM LEADER FOR DESIGN – CFDP DESIGN ENGINEER;
- (P4) represents the score awarded to the evaluation factor – technical component: the experience of the key expert SITE MANAGER – CFDP DESIGN ENGINEER;
- (P5) represents the score awarded to the evaluation factor – technical component: Demonstration of an adequate methodology for contract implementation, as well as adequate planning of human resources and activities – The proposed approach for contract implementation;
- (P6) represents the score awarded to the evaluation factor – technical component: Demonstration of an adequate methodology for contract implementation, as well as adequate planning of human resources and activities – The duties of the team members in implementing the contract activities and, where applicable, the contribution of each member of the group of economic operators, as well as the distribution and interaction of tasks and responsibilities between them.
The total score of each offer is calculated based on the formula: Ptotal = Pfinancial + Ptechnical",100199903,,
8,No match,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Scoring is awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) x maximum allocated score.",100199924,,
9,No match,"Perioada de garanție   extinsă: PDG luni (n) = Data ieșire din garanție   10%
aferent datei de ieșire din garanție ofertat, în luni, şi se calculează astfel:
a)   pentru cel mai mare număr de luni ofertat se acordă 10 puncte;
b)   pentru alt număr de luni ofertat decât cel prevăzut la litera a) se acordă punctaj astfel:
DGluni (n) = (Nr. de luni n / Nr. maxim de luni) X 10.
Unde:
Nr. de luni n – Nr. de luni din oferta n;
Nr.  maxim de luni - cel mai mare numar de luni ofertat., Algoritm de calcul:  DG luni (n) = (Nr. de luni n / Nr. maxim de luni) X 10. Punctajul obţinut se stabileşte ca fiind rezultatul calculului, cu două zecimale, fără rotunjire.
Numărul minim de luni de garanție extinsă este 3.","Extended warranty period: PDG months (n) = 10% weighting associated with the offered warranty end date, in months, and is calculated as follows:
a) for the highest number of months offered, 10 points are awarded;
b) for any other number of months offered than that provided at letter a), the score is awarded as follows:
DG months (n) = (No. of months n / Maximum no. of months) × 10.
Where:
No. of months n – the number of months in offer n;
Maximum no. of months – the highest number of months offered. Calculation algorithm: DG months (n) = (No. of months n / Maximum no. of months) × 10. The score obtained is established as the result of the calculation, with two decimals, without rounding.
The minimum number of months of extended warranty is 3.",100199924,,
