,match,criteria from actual contract in original Romanina,criteria from actural contract translated in English,id,criteria_from_actual_contract_in_original_romanian,criteria_from_actual_contract_translated_in_english,criteria_from_actual_contract_in_original_Romanian
0,No match,"Componenta tehnică: Componenta tehnică - Durata garanției acordată produselor livrate
Punctajul maxim ce poate fi acordat acestui factor de evaluare  este de 10 de puncte., Punctajul se va acorda după cum urmează: 
-   Pentru o durată a garanției acordată produselor egală sau mai mare de 36 luni, se va acorda punctajul maxim alocat acestui factor de evaluare (respectiv 10 de puncte);
-   Pentru o durată a garanției acordată produselor care este egală cu 12 luni se acordă 0 puncte.
-   Pentru o durată a garanției acordată produselor care este mai mică de 36 luni, dar mai mare de 12 luni, punctajul se va acorda după următoarea formulă de calcul:
P(n) = (G(n)/36 luni) x punctajul maxim alocat pentru factorul de evaluare.
unde 
P(n) - reprezintă punctajul calculat pentru o durată a garanției acordată produselor care este mai mică de 36 luni, dar mai mare de 12 luni (altfel spus, reprezintă punctajul acordat operatorului economic pentru care se aplică formula de calcul); 
G(n) -  reprezintă o durată a garanției acordată produselor care este mai mică de 36 luni, dar mai mare de 12 luni (altfel spus, reprezintă garanția ofertată de operatorul economic pentru care se aplică formula de calcul).

Pentru o durată a garanției acordată produselor care este mai mică de 12 luni, oferta va fi considerată neconformă. 

În cazul în care două sau mai multe oferte sunt clasate pe primul loc, cu punctaje egale, departajarea se va face având în vedere punctajul obținut la factorii de evaluare în ordinea descrescătoare a ponderilor acestora (altfel spus: preț, garanție).","Technical component: Technical component – Warranty period granted for the delivered products.
The maximum score that can be awarded for this evaluation factor is 10 points. The score will be awarded as follows:
- For a warranty period granted for the products equal to or greater than 36 months, the maximum score allocated to this evaluation factor will be awarded (i.e., 10 points);
- For a warranty period granted for the products that is equal to 12 months, 0 points are awarded.
- For a warranty period granted for the products that is less than 36 months but greater than 12 months, the score will be awarded according to the following calculation formula:
P(n) = (G(n)/36 months) × the maximum score allocated to the evaluation factor.
where
P(n) represents the score calculated for a warranty period granted for the products that is less than 36 months but greater than 12 months (in other words, it represents the score awarded to the economic operator to whom the calculation formula is applied);
G(n) represents a warranty period granted for the products that is less than 36 months but greater than 12 months (in other words, it represents the warranty offered by the economic operator to whom the calculation formula is applied).

For a warranty period granted for the products that is less than 12 months, the offer will be deemed non-compliant.

If two or more offers are ranked first with equal scores, the tie will be broken by considering the scores obtained for the evaluation factors in the descending order of their weights (in other words: price, warranty).",100197704,,,
1,no_match,,,100197708,"Termenul de livrare: Termenul de livrare al produselor ce urmeaza sa se achizitioneze, in conditiile prezentate in caietul de sarcini., a)Pentru factorul de evaluare, termenul de livrare, ofertantul care acorda cel mai mic numar de zile de livrare, va primi 20 puncte.
b)Pentru orice alt termen de livrare decat cel de la litera a) punctajul se acorda astfel:  Punctaj = (termen livrare minim/ termen livrare ofertat) X 20 puncte
Oferta va fi declarata neconforma in situatia in care termenul de livrare al produselor este mai mare de 150 de zile.
Modul de indeplinire al criteriului:
Se va prezenta o declaratie in care se va specifica termenul de livrare conform cerintelor din caietul de sarcini.","Delivery time: The delivery time of the products to be purchased, under the conditions presented in the specifications. a) For the evaluation factor “delivery time,” the bidder who offers the lowest number of delivery days will receive 20 points.
b) For any other delivery time than the one at letter a), the score is awarded as follows: Score = (minimum delivery time / offered delivery time) × 20 points.
The tender will be declared non-compliant if the delivery time of the products is greater than 150 days.
Method of fulfilling the criterion:
A statement will be submitted specifying the delivery time in accordance with the requirements in the specifications.",
2,No match,,,100197708,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) The lowest of the prices receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally, as follows: P(n) = (Lowest offered price / Price n) x maximum allocated score.",
3,no_match,,,100197708,"Puterea motorului: Puterea motorului pentru produse., a)Pentru factorul de evaluare, puterea motorului, ofertantul care acorda puterea motorului cea mai mare va primi 10 puncte.
b)Pentru orice alta putere ofertata decat cea de la litera a) punctajul se acorda astfel:  Punctaj = (puterea motorului ofertata/ puterea motorului max) X 10 puncte
Oferta va fi declarata neconforma daca puterea motorului ofertata este  mai mica de 265 Kw.
Mod de indeplinire al criteriului:
Se va prezenta o declaratie in care se va specifica puterea motorului pentru produse, care va fi exprimata in Kw.","Engine power: Engine power for the products.
a) For the evaluation factor ""engine power"", the bidder offering the highest engine power will receive 10 points.
b) For any other power offered than that in letter a), the score is awarded as follows: Score = (offered engine power / maximum engine power) x 10 points.
The offer will be declared non-compliant if the offered engine power is less than 265 kW.
Method of fulfilling the criterion:
A statement shall be presented specifying the engine power for the products, which shall be expressed in kW.",
4,,,,100197708,"Volumul suprastructurii (benei): Volumul suprastructurii (benei) pentru produse., a)Pentru factorul de evaluare, volumul suprastructurii, ofertantul care acorda volumul cel mai mare va primi 10 puncte.
b)Pentru orice alt volum ofertat decat cel de la litera a) punctajul se acorda astfel:  Punctaj = (volumul suprastructurii (benei) ofertat/ volumul suprastructurii max) X 10 puncte
Oferta va fi declarata neconforma daca volumul suprastructurii(benei) ofertat este mai mic de 14m³.
Mod de indeplinire al criteriului:
Se va prezenta o declaratie in care se va specifica volumul suprastructurii pentru produse, care va fi exprimata in m³.","Superstructure (dump body) volume: The superstructure (dump body) volume for goods. a) For the evaluation factor “superstructure volume,” the tenderer who offers the largest volume will receive 10 points.
b) For any other volume offered than that in letter a), the score is awarded as follows: Score = (offered superstructure (dump body) volume / maximum superstructure volume) × 10 points.
The offer will be declared non-compliant if the offered superstructure (dump body) volume is less than 14 m³.
Method of fulfilling the criterion:
A statement shall be submitted specifying the superstructure volume for the goods, which will be expressed in m³.",
5,No match,,,100197713,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Points are awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Lowest offered price / Price n) x maximum allocated score.",
6,no match,,,100197713,"Perioada de garanţie acordata lucrării (Pg): Componentă tehnică, Punctajul pentru factorul de evaluare „Perioada de garanţie acordata lucrării (Pg)” se acorda astfel:       Pg(n)= (Pgn-Pgmin) / (Pgmax-Pgmin) x 10,
unde:
              Pg(n) - punctajul ofertei pentru factorul de evaluare ‘Perioada de garanție a lucrărilor’
              Pgn - perioada de garanție a ofertei ‘n’;
              Pgmin - perioada de garanție minimă de 12 de luni;
              Pgmax - perioada de garanție maximum punctată (dar nu mai mult de 36 de luni):
Notă:
1.     Perioada de garanție a lucrărilor minimă acceptată = 12 luni. Ofertarea unei perioade de garanție mai mică decât perioada minimă, de 12 luni, conduce la declararea ofertei ca neconformă. Oferta care prezintă o perioadă de garanție de 12 luni va fi punctată cu 0 (zero) puncte, conform algoritmului de calcul.
2.     Autoritatea contractanta acordă punctaj pentru ofertele care vor oferta o perioada de garanție a lucrărilor între minim 12 luni și maximum punctată  de până la 36 luni (inclusiv);
3.     Autoritatea contractantă nu va puncta suplimentar ofertarea unei perioade de garanție a lucrărilor mai mare decât cea maximă precizată, de 36 luni.
   Perioada de garanţie acordata lucrării se va prezenta obligatoriu în număr de luni.
Punctaj maxim = P1 + P2 = 100 puncte","Warranty period granted for the works (Pg): Technical component. The score for the evaluation factor “Warranty period granted for the works (Pg)” is awarded as follows: Pg(n) = (Pgn - Pgmin) / (Pgmax - Pgmin) x 10,
where:
              Pg(n) - the offer’s score for the evaluation factor ‘Warranty period of the works’
              Pgn - the warranty period of offer ‘n’;
              Pgmin - the minimum warranty period of 12 months;
              Pgmax - the maximum warranty period that receives points (but no more than 36 months):
Note:
1.     The minimum accepted warranty period for the works = 12 months. Offering a warranty period shorter than the minimum of 12 months leads to the offer being declared non-compliant. An offer that presents a warranty period of 12 months will be scored with 0 (zero) points, according to the calculation algorithm.
2.     The contracting authority awards points for offers that propose a warranty period for the works between a minimum of 12 months and the maximum that is scored, up to 36 months (inclusive).
3.     The contracting authority will not award additional points for offering a warranty period for the works longer than the maximum specified, of 36 months.
   The warranty period granted for the works must mandatorily be presented in number of months.
Maximum score = P1 + P2 = 100 points",
7,None,,,100197721,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. The scoring is awarded as follows: a) The lowest price is awarded the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as follows: P(n) = (Lowest offered price / Price n) × maximum allocated score.",
8,no match,,,100197721,"Componenta tehnic: Criteriiul de performanta” (CP) se regaseste incarcata in documentatie, P (tehnic) = PT1+PT2 PT = Punctaj tehnic total PT1 – Punctaj pentru cerinta nr.1 PT2 – Punctaj pentru cerinta nr.2",Technical component: The “Performance Criterion” (CP) is included in the documentation; P (technical) = PT1 + PT2; PT = total technical score; PT1 – Score for requirement no. 1; PT2 – Score for requirement no. 2.,
9,No match,,,100197731,"Pretul ofertei: Componenta financiara, Punctajul se acorda astfel: a) Pentru cel mai scazut dintre preturi se acorda punctajul maxim alocat; b) Pentru celelalte preturi ofertate punctajul P(n) se calculeaza proportional, astfel: P(n) = (Pret minim ofertat / Pret n) x punctaj maxim alocat.","Offer price: Financial component. Scoring is awarded as follows: a) The lowest price receives the maximum allocated score; b) For the other offered prices, the score P(n) is calculated proportionally as: P(n) = (Minimum offered price / Price n) x maximum allocated score.",
